MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
UIO-66_v2_EQeq,0.0,0.03,0.19399999999999998,0.7759999999999999,0.0000000000,0.0000000000,22.5341749241,0.2174222648,2.0612818661,0.0213717157,6.0975429592,0.1172564933,30.6929997494,.3560504738
UIO-66_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.4678511464,0.0292140648,22.7056419774,0.2688390066,2.0691063075,0.0548327980,6.0351978093,0.2005946284,31.2777972406,.5534804978
UIO-66_v2_EQeq,0.04,0.03,0.18600000000000003,0.7440000000000001,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.05,0.03,0.184,0.736,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,5e-05,0.03,0.19399,0.77596,2.1518808923,0.0659755916,22.0877722183,0.7474273788,2.0219457091,0.0408177866,6.0009213557,0.0494568013,32.2625201754,.9036775583
UIO-66_v2_EQeq,0.0001,0.03,0.19398,0.7759199999999999,3.9957782265,0.1032920565,21.3969028828,0.4698417388,1.9784833818,0.0584921644,5.8088554820,0.1075773788,33.1800199731,.7392033385
UIO-66_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,14.6410194557,0.4423394670,18.9646343271,0.1524934328,1.7957398834,0.0473919368,5.0952041979,0.0916495030,40.4965978641,.7338743396
UIO-66_v2_EQeq,0.001,0.03,0.1938,0.7752,23.6893426611,0.5429660718,17.1603638538,0.6688580104,1.6666671632,0.0487450993,4.6158154834,0.0604725932,47.1321891615,1.3210417747
UIO-66_v2_EQeq,0.005,0.03,0.193,0.772,60.2129178186,0.6068985706,13.1331575190,0.2017228631,1.2960453767,0.0174332935,3.2150029146,0.0601833957,77.8571236289,.8862381229
UIO-66_v2_EQeq,0.01,0.03,0.192,0.768,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.02,0.03,0.19,0.76,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.03,0.03,0.188,0.752,0.0,0.0,,,,,,,,
