,MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,ZIF-8_v2_EQeq,0.0,0.03,0.194,0.7759999999999999,0.0,0.0,5.758892894500001,0.1549108223,2.6191803852,0.0587634032,7.971329959099999,0.16823558760000001,16.3494032388,0.38190981310000005
1,ZIF-8_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.013024233999999999,0.0031813568,5.7489250571,0.2125546926,2.6020457655,0.0648426796,8.1022323924,0.26996263600000003,16.466227449,0.550541365
2,ZIF-8_v2_EQeq,5e-05,0.03,0.19399,0.77596,0.0714383134,0.0037693991999999997,5.8289698121,0.085047971,2.5618453117,0.0322967336,8.0131264265,0.09612759679999999,16.4753798637,0.21724170059999998
3,ZIF-8_v2_EQeq,0.0001,0.03,0.19397999999999999,0.7759199999999999,0.1466201193,0.0164851272,5.7567785048,0.1016340435,2.5738541905,0.0715853163,8.00447225,0.1742435059,16.4817250646,0.3639479929
4,ZIF-8_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.7379359406999999,0.0514886161,5.7713778626,0.1560944468,2.547566462,0.037778356299999996,8.0273577391,0.223111817,17.0842380044,0.4684732362
5,ZIF-8_v2_EQeq,0.001,0.03,0.1938,0.7752,1.4733762197,0.0209998747,5.7761100683,0.1732495228,2.5740738651,0.0512753984,7.9437006992,0.267731754,17.7672608523,0.5132565499
6,ZIF-8_v2_EQeq,0.005,0.03,0.193,0.772,7.397296974400001,0.2828817395,5.8924015048000005,0.1444580036,2.5231093553,0.0965375984,7.8100417504,0.22412879579999997,23.6228495849,0.7480061373000001
7,ZIF-8_v2_EQeq,0.01,0.03,0.192,0.768,14.889585068699999,0.8395529703,6.059538980599999,0.2155092891,2.5049495875,0.0458212195,7.5964438523,0.106138232,31.0505174891,1.2070217109
8,ZIF-8_v2_EQeq,0.02,0.03,0.19,0.76,29.694161663899997,1.371320013,6.2090565418,0.09924642410000001,2.423377082,0.0578374508,7.2232885809,0.1602160585,45.5498838686,1.6886199463999998
9,ZIF-8_v2_EQeq,0.03,0.03,0.188,0.752,46.833507679600004,1.5645205394,6.520878688,0.0799417872,2.3356536874000002,0.0743592699,6.9616119243,0.0751365429,62.651651979300006,1.7939581394
10,ZIF-8_v2_EQeq,0.04,0.03,0.18600000000000005,0.7440000000000001,64.04390206149999,2.3393789708000003,6.7794383494,0.14294834439999998,2.2398023322,0.0637041221,6.5956364141999995,0.0688137961,79.65877915729999,2.6148452334
11,ZIF-8_v2_EQeq,0.05,0.03,0.184,0.736,79.9319857402,1.4456274003999998,6.9097250323,0.2330627902,2.1514199138,0.040965110299999996,6.1706842935,0.0851409159,95.1638149798,1.8047962168
