MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
HKUST-1_v2_EQeq,0.0,0.03,0.19399999999999998,0.7759999999999999,0.0000000000,0.0000000000,23.2038270039,0.6808969560,3.4453938976,0.1300178012,9.0791006609,0.4163295900,35.7283215624,1.2272443472
HKUST-1_v2_EQeq,1e-05,0.03,0.193998,0.775992,36.8275696813,1.8441336461,14.9175252957,1.1414918051,2.6528590699,0.1643251637,7.6037395671,0.2010810074,62.0016936140,3.3510316223
HKUST-1_v2_EQeq,0.04,0.03,0.18600000000000003,0.7440000000000001,496.9581379678,7.2966835115,0.6662593012,0.2571988911,0.1339076367,0.0394137140,0.2104350628,0.0556585530,497.9687399685,7.6489546696
HKUST-1_v2_EQeq,0.05,0.03,0.184,0.736,498.5934588239,13.1899174104,0.5948824945,0.1378854146,0.1200209188,0.0445856429,0.1606485005,0.0620410570,499.4690107377,13.4344295249
HKUST-1_v2_EQeq,5e-05,0.03,0.19399,0.77596,92.8961847538,3.3056996733,8.8304930310,0.3782958710,2.1326031035,0.0762831389,6.2010321195,0.3578385679,110.0603130078,4.1181172511
HKUST-1_v2_EQeq,0.0001,0.03,0.19398,0.7759199999999999,130.1776602240,5.5761432814,7.4463739983,0.5382600222,1.9219878822,0.1030365345,5.6125665311,0.2249937528,145.1585886356,6.4424335909
HKUST-1_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,306.7080116082,19.4846960750,5.8256203928,0.4028785588,1.2704693682,0.1555747567,3.4336807878,0.2562616111,317.2377821570,20.2994110016
HKUST-1_v2_EQeq,0.001,0.03,0.1938,0.7752,401.6445223833,23.5753436286,4.0075576528,0.6263284423,0.7531891271,0.1707901294,1.7448453352,0.3841140253,408.1501144984,24.7565762256
HKUST-1_v2_EQeq,0.005,0.03,0.193,0.772,468.0704695482,11.3367966296,1.6046142638,0.2912375580,0.3157575138,0.0717411856,0.5605330112,0.0843636109,470.5513743370,11.7841389841
HKUST-1_v2_EQeq,0.01,0.03,0.192,0.768,476.9634829655,5.6722403710,1.4341282604,0.2858075009,0.2421909726,0.0484243690,0.3991608688,0.0676710033,479.0389630673,6.0741432442
HKUST-1_v2_EQeq,0.02,0.03,0.19,0.76,493.5596946257,3.4784408550,1.0076859373,0.3600325700,0.1692857037,0.0381795273,0.2849701779,0.0877507627,495.0216364446,3.9644037150
HKUST-1_v2_EQeq,0.03,0.03,0.188,0.752,500.1456786202,9.4756455004,0.7353629612,0.1985226363,0.1314278657,0.0242291102,0.2000146195,0.0334018550,501.2124840666,9.7317991019
