,MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,NU-125_v2_EQeq,0.0,0.03,0.194,0.7759999999999999,0.0,0.0,7.566200644099999,0.1932008651,3.5169261158,0.0643195604,10.3890004915,0.3049106843,21.4721272514,0.5624311098
1,NU-125_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.9874080651999999,0.11151766029999999,7.782899575399999,0.33878032280000003,3.4606636641,0.12546909960000002,10.5105820828,0.163611496,22.7415533875,0.7393785787
2,NU-125_v2_EQeq,5e-05,0.03,0.19399,0.77596,5.1810931361,0.2638575681,7.604450090499999,0.3432507121,3.4512517298,0.14090312630000001,10.3196953224,0.3273960017,26.556490278800002,1.0754074082
3,NU-125_v2_EQeq,0.0001,0.03,0.19397999999999999,0.7759199999999999,9.9099484441,0.5236012539,7.3745220273,0.3269619305,3.3875643077,0.047531850099999995,10.1993954648,0.2522344305,30.871430243899997,1.150329465
4,NU-125_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,44.6123223413,3.1340611974,6.6873261461,0.12033288810000001,3.175795786,0.045663660999999994,9.4097559882,0.15158379789999998,63.8852002616,3.4516415444
5,NU-125_v2_EQeq,0.001,0.03,0.1938,0.7752,100.5512760416,16.4744769149,6.3041127074,0.24535204530000002,2.9922630672,0.10622186800000001,8.8673995524,0.3106228271,118.7150513686,17.1366736553
6,NU-125_v2_EQeq,0.005,0.03,0.193,0.772,495.4091760485,13.9615775286,5.0154227120999995,0.1388031357,1.7004227963999998,0.0409108833,4.313949233,0.1820415422,506.43897079,14.3233330898
7,NU-125_v2_EQeq,0.01,0.03,0.192,0.768,613.9615292788,9.3491555816,3.9743475541000004,0.2789849563,1.1778512888,0.055307715,2.8608294913,0.0253426577,621.974557613,9.7087909106
8,NU-125_v2_EQeq,0.02,0.03,0.19,0.76,738.6844712538001,9.860968571699999,2.9210498286,0.4702400529,0.7509677799,0.0781307435,1.6003360058000002,0.09625985279999999,743.9568248681,10.5055992209
9,NU-125_v2_EQeq,0.03,0.03,0.188,0.752,797.2068548967,7.3498443311,2.5388429543,0.47287970490000003,0.5787293822,0.0414389108,1.090022911,0.0497809404,801.4144501442,7.9139438872
10,NU-125_v2_EQeq,0.04,0.03,0.18600000000000005,0.7440000000000001,829.0094411261,4.8754726918,1.9921347015000002,0.3557398921,0.4100466042,0.0565814984,0.7646456705,0.0749312655,832.1762681023,5.3627253478
11,NU-125_v2_EQeq,0.05,0.03,0.184,0.736,839.4308377223,13.189554415999998,2.0979677562,0.40967874320000003,0.4056543682,0.0446944244,0.6821569553,0.0618650418,842.616616802,13.705792625399999
