,MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,UIO-66_v2_EQeq,0.0,0.03,0.194,0.7759999999999999,0.0,0.0,22.445163350900003,0.665271719,2.0791619374,0.013248665900000001,6.1261735645,0.1191474166,30.650498852800002,0.7976678015
1,UIO-66_v2_EQeq,1e-05,0.03,0.193998,0.775992,119.90130490979999,0.2978249165,2.6357596028,0.0978573001,0.3960512214,0.0175275635,0.8693000981,0.027253138599999997,123.8024158321,0.4404629187
2,UIO-66_v2_EQeq,5e-05,0.03,0.19399,0.77596,137.22810487729998,0.819905708,2.1545171452000003,0.1019107776,0.2964424137,0.013146738500000001,0.5214516225,0.017082652900000002,140.2005160587,0.952045877
3,UIO-66_v2_EQeq,0.0001,0.03,0.19397999999999999,0.7759199999999999,142.7264163126,1.3928553561,2.0183101061,0.0384093151,0.2667339874,0.0123209844,0.43456977630000004,0.013467755,145.4460301824,1.4570534106
4,UIO-66_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,154.9213073358,2.2226523444,1.7085767280000002,0.1110313816,0.21740332899999998,0.012149961599999998,0.2956979618,0.019883885100000002,157.1429853546,2.3657175727
5,UIO-66_v2_EQeq,0.001,0.03,0.1938,0.7752,162.4158079405,3.0895073938,1.3888831313999999,0.0745870903,0.18787828809999998,0.0077360703,0.2293926909,0.0139453951,164.2219620509,3.1857759495
6,UIO-66_v2_EQeq,0.005,0.03,0.193,0.772,172.44301168619998,0.5471342342000001,1.0797381206999999,0.1267718125,0.15859776109999998,0.0127044272,0.15407011710000001,0.012220451399999999,173.83541768509997,0.6988309253
7,UIO-66_v2_EQeq,0.01,0.03,0.192,0.768,174.8532478729,1.1461970345999999,1.0773005989,0.0422236345,0.1516596821,0.0107360074,0.1410391781,0.0027097908,176.223247332,1.2018664673000001
8,UIO-66_v2_EQeq,0.02,0.03,0.19,0.76,177.3874485717,0.6271225843,0.9567693467,0.0751343584,0.1392811712,0.0058075244,0.12249617859999999,0.0076707952,178.6059952682,0.7157352623000001
9,UIO-66_v2_EQeq,0.03,0.03,0.188,0.752,178.43679291450002,1.3690731580000002,0.9879528156999999,0.09795687859999999,0.1367137763,0.010437761,0.1201682695,0.013948269899999999,179.68162777599997,1.4914160675
10,UIO-66_v2_EQeq,0.04,0.03,0.18600000000000005,0.7440000000000001,179.2034870765,1.4071301578,0.9261742451,0.1120481627,0.13634700560000002,0.0101763722,0.1166630272,0.0103769726,180.38267135439997,1.5397316653
11,UIO-66_v2_EQeq,0.05,0.03,0.184,0.736,180.19137608169999,2.0514294909,0.9133142161,0.1818433335,0.1331071978,0.0099697483,0.11026796679999999,0.0104147137,181.34806546240003,2.2536572863999997
