,MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,MOF-177_EQeq,0.0,0.03,0.194,0.7759999999999999,0.0,0.0,2.5834007962,0.10515433310000001,2.5274965694,0.0712442876,7.992821563400001,0.2630243151,13.103718929000001,0.43942293579999997
1,MOF-177_EQeq,1e-05,0.03,0.193998,0.775992,0.010473145500000001,0.015614766399999999,2.6171629162,0.18355502199999998,2.5328949705,0.0369739126,7.824818027899999,0.2052032732,12.9853490601,0.4413469742
2,MOF-177_EQeq,5e-05,0.03,0.19399,0.77596,0.047546226799999994,0.1150260682,2.537187398,0.0368904848,2.5107789401,0.0521914847,7.803931925900001,0.1465595659,12.899444490799999,0.3506676036
3,MOF-177_EQeq,0.0001,0.03,0.19397999999999999,0.7759199999999999,0.0892534433,0.127643432,2.5690339367,0.0959991028,2.5046839711,0.11344437240000001,7.885189534299999,0.1581951108,13.0481608854,0.495282018
4,MOF-177_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.5167060712,0.101540659,2.6102189341,0.1415976117,2.4851800703999998,0.0509424054,7.888086147,0.21497839670000002,13.5001912227,0.5090590728
5,MOF-177_EQeq,0.001,0.03,0.1938,0.7752,0.6360813932,0.7379798431999999,2.5668789077,0.1774693267,2.5452590504,0.09487397789999999,7.9716305549,0.2039034236,13.719849906199999,1.2142265714
6,MOF-177_EQeq,0.005,0.03,0.193,0.772,2.630149756,1.1712703948,2.5817246626,0.1222975257,2.4850059284,0.089319724,7.9522689859,0.22980047920000002,15.6491493329,1.6126881237000001
7,MOF-177_EQeq,0.01,0.03,0.192,0.768,2.6030864066,1.0343372089,2.4885795231,0.0899839079,2.4726418485,0.060829164000000005,7.9127835814,0.1864438402,15.477091359600001,1.371594121
8,MOF-177_EQeq,0.02,0.03,0.19,0.76,3.5105427552,0.8350715893,2.5721467562,0.09904685210000001,2.4520930959,0.09477163820000001,7.736090207799999,0.20400598469999998,16.2708728151,1.2328960643
9,MOF-177_EQeq,0.03,0.03,0.188,0.752,4.1025998643,0.7174448277,2.5290461775999997,0.0857556979,2.4416445776,0.098893016,7.654832599400001,0.17675485719999998,16.728123218900002,1.0788483988
10,MOF-177_EQeq,0.04,0.03,0.18600000000000005,0.7440000000000001,4.3588675391,0.8676408,2.5405396652000003,0.1257316836,2.4489585404,0.062318499400000005,7.570221018400001,0.1579445609,16.9185867631,1.2136355439
11,MOF-177_EQeq,0.05,0.03,0.184,0.736,4.3693406845,0.6335106782,2.5285672822,0.16257067779999998,2.3782569001,0.0939114568,7.5985773320000005,0.1475180851,16.8747421988,1.0375108979
