MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MOF-801_EQeq,0.0,0.03,0.19399999999999998,0.7759999999999999,0.0000000000,0.0000000000,68.9041477073,1.8151941949,0.4715215286,0.0153954777,1.4893091844,0.0473624004,70.8649784203,1.8779520730
MOF-801_EQeq,1e-05,0.03,0.193998,0.775992,0.0,0.0,,,,,,,,
MOF-801_EQeq,0.04,0.03,0.18600000000000003,0.7440000000000001,0.0,0.0,,,,,,,,
MOF-801_EQeq,0.05,0.03,0.184,0.736,0.0,0.0,,,,,,,,
MOF-801_EQeq,5e-05,0.03,0.19399,0.77596,0.0,0.0,,,,,,,,
MOF-801_EQeq,0.0001,0.03,0.19398,0.7759199999999999,0.0,0.0,,,,,,,,
MOF-801_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.0,0.0,,,,,,,,
MOF-801_EQeq,0.001,0.03,0.1938,0.7752,0.0,0.0,,,,,,,,
MOF-801_EQeq,0.005,0.03,0.193,0.772,0.0,0.0,,,,,,,,
MOF-801_EQeq,0.01,0.03,0.192,0.768,0.0,0.0,,,,,,,,
MOF-801_EQeq,0.02,0.03,0.19,0.76,0.0,0.0,,,,,,,,
MOF-801_EQeq,0.03,0.03,0.188,0.752,0.0,0.0,,,,,,,,
