,MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,ZIF-8_v2_EQeq,0.0,0.03,0.194,0.7759999999999999,0.0,0.0,5.7422798322,0.1176744558,2.5768564101,0.11604273050000001,8.038383801,0.1143525599,16.3575200433,0.3480697462
1,ZIF-8_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.0017537447,0.001327342,5.8041005612,0.2628801603,2.5745132143,0.0874519571,7.9855612716,0.13609117980000002,16.365928791800002,0.4877506392
2,ZIF-8_v2_EQeq,5e-05,0.03,0.19399,0.77596,0.0077164765000000005,0.0030448164000000002,5.793427927200001,0.113876727,2.5734880661000004,0.072956375,7.9870997919,0.2313860241,16.361732261700002,0.4212639425
3,ZIF-8_v2_EQeq,0.0001,0.03,0.19397999999999999,0.7759199999999999,0.0160175346,0.0033921405,5.7988649294000005,0.1187699933,2.6021189903999997,0.0719862672,7.9871638969,0.0890612195,16.4041653513,0.2832096205
4,ZIF-8_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.0807891706,0.0089027162,5.7794326807,0.1153843909,2.5738541905,0.0700743262,7.979727715599999,0.1859891325,16.4138037574,0.3803505658
5,ZIF-8_v2_EQeq,0.001,0.03,0.1938,0.7752,0.1559663584,0.011256395700000001,5.6958639428,0.12729320630000002,2.5827876246,0.0781918192,7.949213730199999,0.18030021940000002,16.383831655999998,0.3970416406
6,ZIF-8_v2_EQeq,0.005,0.03,0.193,0.772,0.8279233677,0.0444974734,5.7823525523,0.147359975,2.5660191293,0.056189007699999995,7.9398543985000005,0.1458467765,17.116149447799998,0.3938932326
7,ZIF-8_v2_EQeq,0.01,0.03,0.192,0.768,1.6667589243,0.0572980585,5.870049384500001,0.115773826,2.5715109946,0.046117951100000006,7.804656929400001,0.2622835527,17.9129762328,0.48147338829999997
8,ZIF-8_v2_EQeq,0.02,0.03,0.19,0.76,3.528612199,0.1262348726,5.9815079301,0.1523172814,2.5149081699,0.0530220876,7.6977297704,0.229285623,19.7227580694,0.5608598646
9,ZIF-8_v2_EQeq,0.03,0.03,0.188,0.752,5.425384478400001,0.3777087811,6.043429344400001,0.1552833878,2.4700945493,0.09628510800000001,7.4490023261000005,0.283248702,21.3879106982,0.9125259789
10,ZIF-8_v2_EQeq,0.04,0.03,0.18600000000000005,0.7440000000000001,7.4425026136,0.2247377638,6.1334419368,0.1598767264,2.4257935027,0.0722274917,7.402782612899999,0.2112422668,23.404520666,0.6680842486999999
11,ZIF-8_v2_EQeq,0.05,0.03,0.184,0.736,9.537720844299999,0.6053307706000001,6.089744548500001,0.1514308483,2.3744628687000002,0.041887186,7.1691198463,0.1498683585,25.1710481078,0.9485171634
