MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
HKUST-1_v2_EQeq,0.0,0.03,0.19399999999999998,0.7759999999999999,0.0000000000,0.0000000000,23.6243591456,0.9210689496,3.3769522166,0.0649479133,9.1815683532,0.2059175111,36.1828797154,1.1919343740
HKUST-1_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.0000000000,0.0000000000,23.1115372474,1.5468696398,3.4321684520,0.0830114034,9.1413338638,0.2058861784,35.6850395632,1.8357672216
HKUST-1_v2_EQeq,0.04,0.03,0.18600000000000003,0.7440000000000001,0.7675520822,0.0409541083,23.6089017479,1.3109519108,3.1992352913,0.1507737052,8.7813943857,0.3228993600,36.3570835071,1.8255790843
HKUST-1_v2_EQeq,0.05,0.03,0.184,0.736,0.9380274842,0.0698916861,22.9074086727,1.0498132796,3.2837128251,0.1785208595,8.6521519434,0.3078241631,35.7813009254,1.6060499883
HKUST-1_v2_EQeq,5e-05,0.03,0.19399,0.77596,0.0006191601,0.0016510935,23.4563736036,1.6846495019,3.4010886549,0.0719967313,9.1694111693,0.2579568078,36.0274925879,2.0162541345
HKUST-1_v2_EQeq,0.0001,0.03,0.19398,0.7759199999999999,0.0014447068,0.0016510935,23.8289423496,1.4361672565,3.3749683998,0.1402458579,9.1815683532,0.3481095108,36.3869238094,1.9261737187
HKUST-1_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.0107321076,0.0057788272,23.4697851692,0.9692465144,3.3850528021,0.0789964402,9.0348137770,0.3006972317,35.9003838559,1.3547190135
HKUST-1_v2_EQeq,0.001,0.03,0.1938,0.7752,0.0189875750,0.0053182129,23.5016092231,1.1308137021,3.3594285012,0.1964835690,9.2588533074,0.3237821940,36.1388786067,1.6563976780
HKUST-1_v2_EQeq,0.005,0.03,0.193,0.772,0.0951442619,0.0191127889,23.4165935361,0.9301091930,3.4098505126,0.0848930423,9.1050070407,0.4755356093,36.0265953513,1.5096506335
HKUST-1_v2_EQeq,0.01,0.03,0.192,0.768,0.1890502036,0.0324860772,23.1792770194,1.0148921665,3.3640574072,0.0753270113,9.0410370973,0.3593980708,35.7734217275,1.4821033258
HKUST-1_v2_EQeq,0.02,0.03,0.19,0.76,0.3747982203,0.0327472655,23.4154569628,0.9377157528,3.3443845568,0.1102957760,8.9767776971,0.2322356141,36.1114174370,1.3129944084
HKUST-1_v2_EQeq,0.03,0.03,0.188,0.752,0.5706591845,0.0443227119,23.8941816603,0.4272354905,3.3347961088,0.1164693669,8.8339307872,0.2280445344,36.6335677408,.8160721037
