,MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,MOF-177_EQeq,0.0,0.03,0.194,0.7759999999999999,0.0,0.0,2.6384737579,0.10694923740000001,2.5273224274,0.09657330300000001,7.9522689859,0.2611585086,13.1180651712,0.464681049
1,MOF-177_EQeq,1e-05,0.03,0.193998,0.775992,0.0,0.0,2.5652027741,0.0771839018,2.5517023034,0.1387753091,7.9194915266,0.1115249808,13.0363966041,0.32748419170000004
2,MOF-177_EQeq,5e-05,0.03,0.19399,0.77596,0.0010870132,0.001374975,2.6023171613,0.1846674,2.5013752737,0.1181108853,7.8899155866,0.1802758811,12.9946950348,0.4844291414
3,MOF-177_EQeq,0.0001,0.03,0.19397999999999999,0.7759199999999999,0.0017392210999999998,0.0022170806,2.6195573928,0.0837176958,2.5701613523,0.0986166459,8.037185473500001,0.20737101,13.2286434397,0.39192243229999996
4,MOF-177_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.008696105400000001,0.0045602762,2.622191317,0.16841462219999997,2.5111272241,0.0660179539,7.988400417799999,0.27284183219999997,13.130415064300001,0.5118346845
5,MOF-177_EQeq,0.001,0.03,0.1938,0.7752,0.0121745476,0.007704769,2.6152473349000003,0.1154584733,2.4862249222,0.11511614140000001,7.9420546148,0.2150618439,13.0557014195,0.45334122759999995
6,MOF-177_EQeq,0.005,0.03,0.193,0.772,0.0639163749,0.011939344199999999,2.6190784975,0.2133617041,2.5240137299,0.10324372130000001,7.9284862712,0.2135247649,13.135494873499999,0.5420695345000001
7,MOF-177_EQeq,0.01,0.03,0.192,0.768,0.15957353470000002,0.0223576177,2.5541881818000003,0.0910984276,2.4675917312999998,0.052300606500000006,7.8149085634,0.2770985393,12.996262011199999,0.4428551911
8,MOF-177_EQeq,0.02,0.03,0.19,0.76,0.3034940796,0.014182918700000002,2.6442205017,0.1464088806,2.4385100221,0.11617553720000001,7.7816737442,0.2133618643,13.1678983476,0.4901292008
9,MOF-177_EQeq,0.03,0.03,0.188,0.752,0.45306709310000004,0.0249927946,2.700251254,0.155006808,2.4223148188,0.11093267289999999,7.648886920700001,0.2519395822,13.2245200866,0.5428718577
10,MOF-177_EQeq,0.04,0.03,0.18600000000000005,0.7440000000000001,0.5904655589,0.0326364733,2.5278489393,0.10070019640000001,2.4473912626,0.0510375627,7.619310980700001,0.2813622181,13.1850167415,0.46573645049999995
11,MOF-177_EQeq,0.05,0.03,0.184,0.736,0.785040918,0.039454835099999995,2.6430232634,0.072795239,2.3873122826,0.11400860859999999,7.498872874500001,0.2397283409,13.3142493385,0.4659870236
