MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MgMOF-74_EQeq,0.0,0.03,0.19399999999999998,0.7759999999999999,0.0000000000,0.0000000000,23.7483396815,0.8054320461,2.8065560629,0.0962843036,9.5937164381,0.1506439880,36.1486121825,1.0523603377
MgMOF-74_EQeq,1e-05,0.03,0.193998,0.775992,0.0001714507,0.0006858027,24.0318455773,0.8926456543,2.8152996560,0.0660488449,9.6350353246,0.2154996434,36.4823520086,1.1748799453
MgMOF-74_EQeq,0.04,0.03,0.18600000000000003,0.7440000000000001,0.6595135630,0.0336381372,23.5479846045,1.4191616866,2.6960938103,0.0354890039,9.1741554071,0.2693856620,36.0777473849,1.7576744897
MgMOF-74_EQeq,0.05,0.03,0.184,0.736,0.8277638168,0.0365750706,23.8211674616,0.5059078840,2.6686270256,0.0661006054,9.0535651748,0.1002318677,36.3711234788,.7088154277
MgMOF-74_EQeq,5e-05,0.03,0.19399,0.77596,0.0006858027,0.0005828202,24.5364785186,1.2090872080,2.8149334322,0.0839211039,9.5608136196,0.2840638957,36.9129113731,1.5776550278
MgMOF-74_EQeq,0.0001,0.03,0.19398,0.7759199999999999,0.0009715538,0.0009285812,24.2631068254,0.6154287957,2.8151623221,0.0553170710,9.5208974111,0.2380329864,36.6001381124,.9097074343
MgMOF-74_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.0086868338,0.0014726582,23.9131935761,1.5268055805,2.8150249882,0.0499291451,9.5364871753,0.1129329159,36.2733925734,1.6911402997
MgMOF-74_EQeq,0.001,0.03,0.1938,0.7752,0.0163449635,0.0031799361,23.4056651484,0.7405356429,2.8097605211,0.0537664991,9.5703518301,0.1384017002,35.8021224631,.9358837783
MgMOF-74_EQeq,0.005,0.03,0.193,0.772,0.0838393758,0.0145776763,24.1214797682,0.5739350218,2.7991858090,0.0553414628,9.5739186399,0.2088184705,36.5784235929,.8526726314
MgMOF-74_EQeq,0.01,0.03,0.192,0.768,0.1663642965,0.0077808301,23.7862957328,1.5529316090,2.7746030367,0.0516922326,9.5169699127,0.2983651695,36.2442329787,1.9107698412
MgMOF-74_EQeq,0.02,0.03,0.19,0.76,0.3283851762,0.0246194772,24.1112826201,0.4684128514,2.7715359124,0.0492776879,9.4371775722,0.1798006642,36.6483812809,.7221106807
MgMOF-74_EQeq,0.03,0.03,0.188,0.752,0.4898345536,0.0185659953,23.9497018842,0.5375656580,2.7217294761,0.0390000402,9.2490183363,0.2253754954,36.4102842502,.8205071889
