MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-125_v2_EQeq,0.0,0.03,0.19399999999999998,0.7759999999999999,0.0000000000,0.0000000000,7.7133028384,0.1676981606,3.4719579853,0.1031937566,10.4969407748,0.2939810246,21.6822015985,.5648729418
NU-125_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.0000000000,0.0000000000,7.6829621121,0.3346673264,3.5033310996,0.0492601189,10.3462455193,0.2636578235,21.5325387310,.6475852688
NU-125_v2_EQeq,0.04,0.03,0.18600000000000003,0.7440000000000001,0.7952182274,0.0494696288,7.7128714536,0.3697387457,3.3140466432,0.1389072956,9.9456122034,0.2710196085,21.7677485276,.8291352786
NU-125_v2_EQeq,0.05,0.03,0.184,0.736,1.0479751620,0.0346759020,7.7678011097,0.3213409306,3.3273279282,0.0326816242,9.9064277749,0.2070720263,22.0495319748,.5957704831
NU-125_v2_EQeq,5e-05,0.03,0.19399,0.77596,0.0010444501,0.0010444501,7.7437873596,0.3760038692,3.4794875327,0.0694744298,10.4373401603,0.3570418831,21.6616595027,.8035646322
NU-125_v2_EQeq,0.0001,0.03,0.19398,0.7759199999999999,0.0022194566,0.0030450693,7.7968476818,0.3073588564,3.4593041625,0.1016613700,10.4495166300,0.2562542440,21.7078879309,.6683195397
NU-125_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.0101833889,0.0033641997,7.5614554120,0.2799358621,3.4333690546,0.1151419416,10.4565661650,0.1845850843,21.4615740205,.5830270877
NU-125_v2_EQeq,0.001,0.03,0.1938,0.7752,0.0224556781,0.0037476699,7.7265319702,0.3615069275,3.4527158085,0.0588329317,10.3770986791,0.1122858033,21.5788021359,.5363733324
NU-125_v2_EQeq,0.005,0.03,0.193,0.772,0.0977866446,0.0145240547,7.7502581306,0.1888079205,3.4747815655,0.0897136987,10.3417594515,0.2549769764,21.6645857922,.5480226503
NU-125_v2_EQeq,0.01,0.03,0.192,0.768,0.2014483213,0.0246000715,7.6805175986,0.3810826685,3.4403757168,0.1174742423,10.2263118713,0.2131369832,21.5486535080,.7362939655
NU-125_v2_EQeq,0.02,0.03,0.19,0.76,0.4079883370,0.0218930054,7.7854878838,0.1302708886,3.4584675461,0.0805919339,10.1382384595,0.3331494205,21.7901822264,.5659052484
NU-125_v2_EQeq,0.03,0.03,0.188,0.752,0.6133533463,0.0491668734,7.7028058098,0.2354789964,3.3626749704,0.0949776094,10.0548342203,0.0574797456,21.7336683468,.4371032248
