MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
ZIF-8_v2_EQeq,0.0,0.03,0.19399999999999998,0.7759999999999999,0.0000000000,0.0000000000,5.7724854001,0.2128911436,2.5986774215,0.0519337294,7.9747275247,0.1767231812,16.3458903463,.4415480542
ZIF-8_v2_EQeq,1e-05,0.03,0.193998,0.775992,0.0000914155,0.0003656621,5.7795333660,0.0935074707,2.6059266836,0.0671430137,8.0431275719,0.2065771833,16.4286790370,.3675933298
ZIF-8_v2_EQeq,0.04,0.03,0.18600000000000003,0.7440000000000001,0.6489588157,0.0169096485,5.7119735790,0.2022749910,2.4971145264,0.0820884436,7.5963797473,0.0952561643,16.4544266684,.3965292474
ZIF-8_v2_EQeq,0.05,0.03,0.184,0.736,0.8152436566,0.0267746071,5.7312044573,0.1849657490,2.4722180705,0.0593141337,7.5944565970,0.0895851422,16.6131227814,.3606396320
ZIF-8_v2_EQeq,5e-05,0.03,0.19399,0.77596,0.0008227397,0.0012127640,5.7226462130,0.1215643920,2.5880598153,0.0828009789,8.0146008418,0.2141090491,16.3261296098,.4196871840
ZIF-8_v2_EQeq,0.0001,0.03,0.19398,0.7759199999999999,0.0021025571,0.0004478428,5.7514421878,0.1582323352,2.5799318547,0.0701593616,8.0455635623,0.1975942325,16.3790401619,.4264337721
ZIF-8_v2_EQeq,0.0005,0.03,0.1939,0.7756000000000001,0.0084102283,0.0049936646,5.7254653994,0.1770549062,2.5998490194,0.0850657450,8.0064595053,0.2675400667,16.3401841524,.5346543825
ZIF-8_v2_EQeq,0.001,0.03,0.1938,0.7752,0.0161805480,0.0035452256,5.7748011603,0.1502728269,2.5691677988,0.0522876849,7.9429955440,0.0957321155,16.3031450511,.3018378529
ZIF-8_v2_EQeq,0.005,0.03,0.193,0.772,0.0783431054,0.0080237631,5.8041005612,0.1821867386,2.5748793386,0.0631220468,8.0212036580,0.1813246935,16.4785266632,.4346572420
ZIF-8_v2_EQeq,0.01,0.03,0.192,0.768,0.1631767131,0.0141029004,5.7735929376,0.1780980212,2.5529851024,0.0279139506,7.8653002702,0.1471873398,16.3550550233,.3673022120
ZIF-8_v2_EQeq,0.02,0.03,0.19,0.76,0.3162977183,0.0222498704,5.7458038151,0.0749347050,2.5411958983,0.0466193485,7.7738224189,0.1002653202,16.3771198506,.2440692441
ZIF-8_v2_EQeq,0.03,0.03,0.188,0.752,0.4889816460,0.0474248381,5.7101612450,0.0906717283,2.5096359792,0.0541341319,7.7111277178,0.0505209313,16.4199065880,.2427516296
