,MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,NU-100_EQeq,0.0,0.04,0.192,0.768,0.0,0.0,4.9856933412,0.12060160380000001,3.0616124943000003,0.0898434899,9.1071553103,0.20171566719999998,17.1544611458,0.41216076090000003
1,NU-100_EQeq,1e-05,0.04,0.191998,0.767992,0.0001919218,0.0004749223,4.8888990931,0.26563270559999996,3.03464543,0.1264870867,9.0946808263,0.3343649687,17.0184172712,0.7269596832999999
2,NU-100_EQeq,5e-05,0.04,0.19199,0.7679600000000001,0.0008529856,0.00046719940000000004,4.8673177773,0.1548535684,3.0229908943,0.1375642564,8.9758194742,0.1584280727,16.8669811314,0.4513130969
3,NU-100_EQeq,0.0001,0.04,0.19197999999999998,0.7679199999999999,0.0018552436,0.0009206714,4.9581464585,0.0371392694,3.0554874828,0.0949435468,9.1157571187,0.181612921,17.131246303599998,0.3146164086
4,NU-100_EQeq,0.0005,0.04,0.1919,0.7676000000000001,0.0084872063,0.0014687708,4.9644044551999995,0.1315830428,3.0514041419,0.0859120448,9.1465895747,0.1602142607,17.1708853781,0.3791781191
5,NU-100_EQeq,0.001,0.04,0.1918,0.7672,0.0182112416,0.0019044704999999999,4.9545788155,0.2465959107,3.0386011666000003,0.056323273300000004,9.160702498400001,0.2822340477,17.1720937221,0.5870577022
6,NU-100_EQeq,0.005,0.04,0.191,0.764,0.0870045267,0.004090775,4.87117785,0.1933339239,3.0235438467,0.09081171210000001,9.0348777776,0.1917154396,17.016604000999997,0.4799518506
7,NU-100_EQeq,0.01,0.04,0.19,0.76,0.1757576739,0.0073259989,4.857082736000001,0.1354459864,3.0206514801999997,0.0600493792,9.006428506599999,0.1303785954,17.0599203967,0.3331999599
8,NU-100_EQeq,0.02,0.04,0.188,0.752,0.3393816282,0.009698374499999999,4.8538075226999995,0.094324911,2.9436634891000004,0.05411550230000001,8.8708476222,0.12364073210000001,17.0077002622,0.2817795199
9,NU-100_EQeq,0.03,0.04,0.18600000000000005,0.7440000000000001,0.5183806472,0.010188983,4.8930515956,0.1620204822,2.9930463939,0.059049948600000006,8.8418397922,0.16134618039999998,17.2463184289,0.3926055942
10,NU-100_EQeq,0.04,0.04,0.184,0.736,0.6813435377,0.0111830603,4.8438649111,0.1654155566,2.9165688204,0.059566584400000004,8.649174179400001,0.1952735279,17.0909514486,0.43143872920000004
11,NU-100_EQeq,0.05,0.04,0.182,0.728,0.8576769769,0.038718639,4.861352210400001,0.1445173518,2.8668456371,0.0509104442,8.5540702028,0.2578488111,17.1399450272,0.4919952461
