MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
ZIF-8_v2_EQeq,0.0,0.04,0.192,0.768,0.0000000000,0.0000000000,7.6999026891,0.1433667118,2.6016064163,0.0445780116,7.8346580748,0.1159924516,18.1361671802,.3039371750
ZIF-8_v2_EQeq,1e-05,0.04,0.191998,0.767992,0.0001101329,0.0001798463,7.7939426906,0.2453857406,2.5982380723,0.0562976880,7.8715825613,0.1684689457,18.2638734571,.4703322206
ZIF-8_v2_EQeq,0.04,0.04,0.184,0.736,1.0686931074,0.0140087838,7.5438405882,0.0947853951,2.4268918758,0.0706042690,7.5834946400,0.1388204938,18.6229202114,.3182189417
ZIF-8_v2_EQeq,0.05,0.04,0.182,0.728,1.3477699170,0.0318151780,7.7744097567,0.1988526849,2.4156152458,0.0986536587,7.4595796530,0.0922159001,18.9973745725,.4215374217
ZIF-8_v2_EQeq,5e-05,0.04,0.19199000000000002,0.7679600000000001,0.0012848840,0.0007700558,7.7222548094,0.3656255313,2.5550353988,0.1289162055,7.9163919643,0.1737888633,18.1949670565,.6691006559
ZIF-8_v2_EQeq,0.0001,0.04,0.19198,0.7679199999999999,0.0023862132,0.0020107428,7.7774303135,0.1599152740,2.5555479729,0.0749774044,7.8756211770,0.3675875487,18.2109856766,.6044909699
ZIF-8_v2_EQeq,0.0005,0.04,0.1919,0.7676000000000001,0.0136564816,0.0021977581,7.7619247886,0.2409373695,2.5640420578,0.0719832878,7.9194690049,0.2188381723,18.2590923329,.5339565877
ZIF-8_v2_EQeq,0.001,0.04,0.1918,0.7672,0.0269458535,0.0046401275,7.6626491554,0.1236994942,2.5671175024,0.0919695043,7.7982464283,0.2001890199,18.0549589396,.4204981459
ZIF-8_v2_EQeq,0.005,0.04,0.191,0.764,0.1338482041,0.0092854814,7.6150250433,0.3122616232,2.5193016621,0.0900624231,7.7865152112,0.1287224798,18.0546901207,.5403320075
ZIF-8_v2_EQeq,0.01,0.04,0.19,0.76,0.2741575393,0.0110976485,7.6469422600,0.1028930108,2.5180568393,0.0839229852,7.8042722993,0.1775426917,18.2434289379,.3754563362
ZIF-8_v2_EQeq,0.02,0.04,0.188,0.752,0.5359801920,0.0238751183,7.6770471427,0.2190144148,2.4626988374,0.0603731840,7.6649721095,0.1351654736,18.3406982816,.4384281907
ZIF-8_v2_EQeq,0.03,0.04,0.18600000000000003,0.7440000000000001,0.8166722843,0.0259672979,7.6910423892,0.2238344679,2.5028260663,0.0485299174,7.6352914893,0.1732939523,18.6458322291,.4716256355
