,MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,HKUST-1_v2_EQeq,0.0,0.04,0.192,0.768,0.0,0.0,28.4309278675,1.635992769,3.1175681647,0.1095429018,8.6334819825,0.29360761960000004,40.1819780147,2.0391432903999998
1,HKUST-1_v2_EQeq,1e-05,0.04,0.191998,0.767992,0.0,0.0,27.8396824078,0.9307747227,3.1949370215,0.0819177311,8.6988992097,0.37650747700000003,39.733518639,1.3891999308
2,HKUST-1_v2_EQeq,5e-05,0.04,0.19199,0.7679600000000001,1.04148e-05,4.16592e-05,28.3338645029,0.8375888954,3.1863404819,0.072735442,8.541434733600001,0.23512834510000002,40.061650133200004,1.1454943417
3,HKUST-1_v2_EQeq,0.0001,0.04,0.19197999999999998,0.7679199999999999,2.08296e-05,5.1021899999999993e-05,28.703932787600003,1.1912897216,3.222049185,0.0903066508,8.5711040512,0.20496645370000002,40.4971068534,1.4866138480000002
4,HKUST-1_v2_EQeq,0.0005,0.04,0.1919,0.7676000000000001,4.16592e-05,0.00012145649999999999,28.630055519499997,0.9567095269,3.2121301008,0.06922860730000001,8.6525861285,0.150803915,40.494813408,1.1768635056999999
5,HKUST-1_v2_EQeq,0.001,0.04,0.1918,0.7672,0.0001353925,0.00012497770000000001,28.059723009499997,1.1024363158,3.1691474025999997,0.1239775308,8.6533097704,0.47929441799999994,39.882315575,1.7058332423
6,HKUST-1_v2_EQeq,0.005,0.04,0.191,0.764,0.0006457182,0.0001931659,28.553905104600002,1.0350497423,3.1721231279000004,0.1782941398,8.6146672933,0.4097511665,40.341341244,1.6232882144999998
7,HKUST-1_v2_EQeq,0.01,0.04,0.19,0.76,0.0012810215,0.0007754663,27.9442471565,1.1129551012999999,3.184191347,0.044915431900000004,8.5708145945,0.20030533120000002,39.7005341195,1.3589513306999998
8,HKUST-1_v2_EQeq,0.02,0.04,0.188,0.752,0.0026453615000000003,0.00046762379999999997,28.5993680389,1.0807768254999999,3.1202132539,0.1858469244,8.4543082495,0.3021740009,40.176534903800004,1.5692653746
9,HKUST-1_v2_EQeq,0.03,0.04,0.18600000000000005,0.7440000000000001,0.0036347683,0.0007550557,28.31863442,0.709567616,3.0793796906,0.046917722599999996,8.417836698099999,0.2642069575,39.819485576999995,1.0214473518
10,HKUST-1_v2_EQeq,0.04,0.04,0.184,0.736,0.0049470343,0.0009499767,28.858506764,1.2155103615,3.0745854665,0.14178316119999998,8.3641424695,0.2793919034,40.3021817343,1.6376354028
11,HKUST-1_v2_EQeq,0.05,0.04,0.182,0.728,0.0065717445,0.0008158193,28.2281631808,0.9130972012,3.0788837364,0.08366074429999999,8.1544310486,0.1305786884,39.4680497103,1.1281524532
