MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MgMOF-74_EQeq,0.0,0.04,0.192,0.768,0.0000000000,0.0000000000,32.5282101034,2.0166300165,2.7673243387,0.0531035554,9.4056373552,0.1957665499,44.7011717973,2.2655001218
MgMOF-74_EQeq,1e-05,0.04,0.191998,0.767992,0.0000000000,0.0000000000,31.9583028251,0.1595214728,2.7341353072,0.0654438696,9.4129713574,0.1847543839,44.1054094897,.4097197263
MgMOF-74_EQeq,0.04,0.04,0.184,0.736,0.0052776264,0.0003247485,32.0163384459,0.8978564984,2.6563127505,0.0720385340,8.9921278780,0.1206555770,43.6700567008,1.0908753579
MgMOF-74_EQeq,0.05,0.04,0.182,0.728,0.0063850628,0.0003239279,31.7884133018,1.4617373042,2.6413891308,0.0483056337,8.9825495910,0.0981915500,43.4187370864,1.6085584158
MgMOF-74_EQeq,5e-05,0.04,0.19199000000000002,0.7679600000000001,0.0000144197,0.0000315921,31.9795154110,1.5803425660,2.7984991394,0.0771777008,9.3660016823,0.1896110669,44.1440306524,1.8471629258
MgMOF-74_EQeq,0.0001,0.04,0.19198,0.7679199999999999,0.0000086518,0.0000230716,32.5443241152,2.0512355137,2.7841706333,0.0214315248,9.5206970285,0.2246478791,44.8492004288,2.2973379892
MgMOF-74_EQeq,0.0005,0.04,0.1919,0.7676000000000001,0.0000749827,0.0000803375,32.2073146644,1.0926151326,2.7866426440,0.0529899384,9.4259561481,0.1861610656,44.4199884392,1.3318464741
MgMOF-74_EQeq,0.001,0.04,0.1918,0.7672,0.0001384295,0.0001072891,32.1701139574,1.4417147109,2.7487384810,0.0441438316,9.4729258232,0.1592633629,44.3919166911,1.6452291945
MgMOF-74_EQeq,0.005,0.04,0.191,0.764,0.0006892638,0.0002153520,32.0373621957,1.2907005844,2.7572074063,0.0589580504,9.3718528534,0.1363684074,44.1671117192,1.4862423942
MgMOF-74_EQeq,0.01,0.04,0.19,0.76,0.0014246707,0.0004100484,31.7152707949,1.2217839354,2.7607323104,0.0462974454,9.3066082877,0.1070192727,43.7840360637,1.3755107019
MgMOF-74_EQeq,0.02,0.04,0.188,0.752,0.0026186256,0.0002340090,32.9123656279,0.9102406953,2.7012667214,0.0454956610,9.2707798837,0.3311719671,44.8870308586,1.2871423324
MgMOF-74_EQeq,0.03,0.04,0.18600000000000003,0.7440000000000001,0.0038039286,0.0003717498,32.2657279573,0.6722693270,2.7095525348,0.0687135785,9.1233784632,0.2214128451,44.1024628839,.9627675004
