MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MgMOF-74_EQeq,0.0,0.04,0.192,0.768,0.0000000000,0.0000000000,32.9197931803,1.0884205952,2.7670496709,0.0462978075,9.5345234260,0.0929583718,45.2213662772,1.2276767745
MgMOF-74_EQeq,1e-05,0.04,0.191998,0.767992,0.0082886271,0.0020220780,32.0924393847,1.6442303864,2.7902591039,0.0347510009,9.3780647132,0.2784022211,44.2690518289,1.9594056864
MgMOF-74_EQeq,0.04,0.04,0.184,0.736,41.1164174482,0.8119609775,33.6302574446,0.7401338517,2.6329659834,0.0379757478,8.8929785810,0.1503284966,86.2726194572,1.7403990736
MgMOF-74_EQeq,0.05,0.04,0.182,0.728,54.3041107710,1.1142415060,33.8559165558,0.2837842058,2.5879662345,0.0313284605,8.7204491858,0.0542648438,99.4684427471,1.4836190161
MgMOF-74_EQeq,5e-05,0.04,0.19199000000000002,0.7679600000000001,0.0433934008,0.0056355578,31.8224037956,0.9294612704,2.7817901787,0.0345829496,9.4621051642,0.1799472813,44.1096925393,1.1496270591
MgMOF-74_EQeq,0.0001,0.04,0.19198,0.7679199999999999,0.0836176207,0.0053499155,31.7785308805,1.6278740445,2.8017951535,0.0365644246,9.4417863714,0.1396406097,44.1057300261,1.8094289943
MgMOF-74_EQeq,0.0005,0.04,0.1919,0.7676000000000001,0.4255966246,0.0262841200,32.0272909383,1.0765630223,2.7677821184,0.0593692150,9.4284809685,0.1229625841,44.6491506498,1.2851789414
MgMOF-74_EQeq,0.001,0.04,0.1918,0.7672,0.8488041743,0.0226923225,32.7727528222,0.7472515417,2.7665461131,0.0370868277,9.5265081231,0.1824122700,45.9146112327,.9894429619
MgMOF-74_EQeq,0.005,0.04,0.191,0.764,4.3369510084,0.0436641688,32.1961103905,0.7588790817,2.7345015310,0.0319717779,9.4540898613,0.0878114388,48.7216527912,.9223264672
MgMOF-74_EQeq,0.01,0.04,0.19,0.76,8.8593722379,0.2953784983,32.9819202494,0.3979727165,2.7622429835,0.0568642789,9.3950571554,0.1015993315,53.9985926262,.8518148252
MgMOF-74_EQeq,0.02,0.04,0.188,0.752,18.7774946995,0.2204253979,33.4773002228,0.8778905580,2.7117040996,0.0324686880,9.2902570698,0.1649183586,64.2567560917,1.2957030025
MgMOF-74_EQeq,0.03,0.04,0.18600000000000003,0.7440000000000001,29.1327691070,0.5671797740,33.5559189759,0.7308839720,2.7068974123,0.0464851833,9.0046317505,0.0869412484,74.4002172457,1.4314901777
