,MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,NU-125_v2_EQeq,0.0,0.04,0.192,0.768,0.0,0.0,10.1707578729,0.4339123374,3.429813435,0.19198318109999998,10.1964657879,0.2496710408,23.7970370958,0.8755665593
1,NU-125_v2_EQeq,1e-05,0.04,0.191998,0.767992,0.005123554000000001,0.0031027326,10.1309266824,0.3064733434,3.4294997039,0.13485720210000002,10.3542105784,0.41776893390000003,23.9197605187,0.862202212
2,NU-125_v2_EQeq,5e-05,0.04,0.19199,0.7679600000000001,0.02561777,0.0047255214,10.1549404326,0.37525942869999995,3.4473823789999996,0.0676509237,10.1977475215,0.2978010398,23.8256881031,0.7454369136
3,NU-125_v2_EQeq,0.0001,0.04,0.19197999999999998,0.7679199999999999,0.0445526434,0.0066082249,10.0548591744,0.31493646210000004,3.4547027724,0.20257305690000002,10.3543021308,0.3611482255,23.908416721,0.8852659694
4,NU-125_v2_EQeq,0.0005,0.04,0.1919,0.7676000000000001,0.2433688146,0.0223763406,10.3175724773,0.3463644237,3.4163229959,0.08500152130000001,10.170373352999999,0.3133894255,24.1476376408,0.7671317111
5,NU-125_v2_EQeq,0.001,0.04,0.1918,0.7672,0.47248078340000005,0.0282092477,9.9805172052,0.44417370619999996,3.3894466945999997,0.1043496592,10.206811209400001,0.17113531969999998,24.0492558926,0.7478679328
6,NU-125_v2_EQeq,0.005,0.04,0.191,0.764,2.444046636,0.2141061634,10.1260376555,0.21397339920000003,3.4310683596,0.0334280333,10.2269527381,0.20197829620000002,26.2281053892,0.6634858921
7,NU-125_v2_EQeq,0.01,0.04,0.19,0.76,4.7647938314,0.12913043970000002,9.858291530599999,0.4806335823,3.3568186556999997,0.09262339,9.9702397999,0.1580106423,27.9501438176,0.8603980543
8,NU-125_v2_EQeq,0.02,0.04,0.188,0.752,9.340016165,0.4714216022,9.5415113409,0.1717973116,3.2260973460000004,0.07070027200000001,9.8035228738,0.15463349939999999,31.9111477257,0.8685526852
9,NU-125_v2_EQeq,0.03,0.04,0.18600000000000005,0.7440000000000001,13.7056183114,0.6992045215,9.3163285098,0.3567127179,3.1593771895,0.157617283,9.4906883125,0.211090063,35.6720123232,1.4246245854
10,NU-125_v2_EQeq,0.04,0.04,0.184,0.736,17.9198528518,0.5822344438,9.0664129539,0.3671390194,3.1173372163,0.1248273276,9.3639797867,0.2202416699,39.4675828087,1.2944424607
11,NU-125_v2_EQeq,0.05,0.04,0.182,0.728,21.7766638104,0.2824136858,8.9308143525,0.18334296670000003,3.0399502010000004,0.0713684528,9.0701881252,0.2753067075,42.8176164891,0.8124318128
