MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MOF-177_EQeq,0.0,0.04,0.192,0.768,0.0000000000,0.0000000000,3.4683993450,0.1075117324,2.4886629098,0.1199250403,7.7963092609,0.2562148123,13.7533715157,.4836515850
MOF-177_EQeq,1e-05,0.04,0.191998,0.767992,5.0164478177,3.8538013088,3.4384683876,0.1713950221,2.5043356872,0.0910707568,7.8377765583,0.1497535340,18.7970284508,4.2660206217
MOF-177_EQeq,0.04,0.04,0.184,0.736,1165.2411286617,5.5008676639,4.1050906711,0.4557649540,0.6956971748,0.0722636726,1.3877823814,0.0882576890,1171.4296988890,6.1171539795
MOF-177_EQeq,0.05,0.04,0.182,0.728,1186.2745628214,7.6749275692,3.8223029855,0.2230007303,0.6020087943,0.0359694868,1.1578828064,0.0360383605,1191.8567574076,7.9699361468
MOF-177_EQeq,5e-05,0.04,0.19199000000000002,0.7679600000000001,9.0197463533,4.6525844923,3.4803717280,0.2050768206,2.4775178236,0.0981740711,7.8760423363,0.1593632189,22.8536782412,5.1151986029
MOF-177_EQeq,0.0001,0.04,0.19198,0.7679199999999999,13.0543305343,1.5185818848,3.4229042897,0.0689343154,2.5315018347,0.0753179627,7.9411398950,0.0464760077,26.9498765537,1.7093101706
MOF-177_EQeq,0.0005,0.04,0.1919,0.7676000000000001,19.8000212938,2.1782088239,3.4133263834,0.0762181120,2.4834386507,0.0649845946,7.8127742172,0.0855891884,33.5095605451,2.4050007189
MOF-177_EQeq,0.001,0.04,0.1918,0.7672,24.6303353227,3.7722171995,3.4241015280,0.1346283684,2.4989372861,0.1150655511,7.8732981770,0.1489224506,38.4266723138,4.1708335696
MOF-177_EQeq,0.005,0.04,0.191,0.764,67.8323353392,6.4403779546,3.4916257680,0.0875684676,2.4926681751,0.0661501148,7.7801492112,0.2024327238,81.5967784935,6.7965292608
MOF-177_EQeq,0.01,0.04,0.19,0.76,121.9568177751,12.4172077613,3.6633097397,0.1217223409,2.4738608422,0.0619651850,7.6386725497,0.1629154502,135.7326609067,12.7638107374
MOF-177_EQeq,0.02,0.04,0.188,0.752,1055.1042805052,21.4979557350,6.0793366221,0.5132395106,1.1920017926,0.1200796969,2.7158030696,0.2694698205,1065.0914219895,22.4007447630
MOF-177_EQeq,0.03,0.04,0.18600000000000003,0.7440000000000001,1135.0928271462,11.8362008270,4.8801827443,0.3365458786,0.8893430467,0.1250897065,1.7670861895,0.1569229586,1142.6294391267,12.4547593707
