,MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,NU-100_EQeq,0.0,0.04,0.192,0.768,0.0,0.0,4.8967946964,0.055832981,3.0246922863999997,0.0322585462,9.0623588797,0.19554898980000002,16.9838458625,0.283640517
1,NU-100_EQeq,1e-05,0.04,0.191998,0.767992,0.49315537159999995,0.027802326000000002,4.9416534205,0.11768245279999999,3.0282226749000003,0.0751826655,8.9534771148,0.0651272858,17.416508581800002,0.2857947301
2,NU-100_EQeq,5e-05,0.04,0.19199,0.7679600000000001,2.6123572382,0.2630337185,4.912585903,0.1164240083,3.0074231569,0.0938352818,9.0416177227,0.1683910822,19.573984020799998,0.6416840908
3,NU-100_EQeq,0.0001,0.04,0.19197999999999998,0.7679199999999999,5.0848494689,0.0799863382,4.7966082631,0.1513019672,2.9935568115,0.06268850599999999,8.8732308072,0.17300409600000002,21.748245350700003,0.46698090740000003
4,NU-100_EQeq,0.0005,0.04,0.1919,0.7676000000000001,19.9504465659,0.9899093827,4.4675663052,0.13998199,2.9076790468000002,0.0959560994,8.6183044862,0.16592995789999998,35.9439964041,1.39177743
5,NU-100_EQeq,0.001,0.04,0.1918,0.7672,33.6375343168,1.6249659924000002,4.1978291013,0.06970877610000001,2.7740772345,0.0558845788,8.3418177883,0.1536022722,48.9512584409,1.9041616195
6,NU-100_EQeq,0.005,0.04,0.191,0.764,80.7612355153,1.4242149278999998,3.3536428909,0.1254598756,2.4908805246,0.079141894,7.5648250022,0.0569930189,94.17058393299999,1.6858097163999999
7,NU-100_EQeq,0.01,0.04,0.19,0.76,110.6464201565,1.5133121018,3.1196406026999997,0.0556225682,2.38994544,0.047742619699999995,7.294184555,0.1130641127,123.4501907542,1.7297414024000002
8,NU-100_EQeq,0.02,0.04,0.188,0.752,157.9674143789,3.2178769045999998,2.9337722519,0.10094858039999999,2.2887551467,0.047109976500000005,6.9186839677,0.0859892241,170.10862574520002,3.4519246856
9,NU-100_EQeq,0.03,0.04,0.18600000000000005,0.7440000000000001,0.0,0.0,,,,,,,,
10,NU-100_EQeq,0.04,0.04,0.184,0.736,0.0,0.0,,,,,,,,
11,NU-100_EQeq,0.05,0.04,0.182,0.728,0.0,0.0,,,,,,,,
