,MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,ZIF-8_v2_EQeq,0.0,0.04,0.192,0.768,0.0,0.0,7.779947444099999,0.23356976100000001,2.5495435335,0.0581731847,7.8851087187,0.2854847716,18.214599696300002,0.5772277173
1,ZIF-8_v2_EQeq,1e-05,0.04,0.191998,0.767992,20.5926724219,2.0401405516,8.1795671077,0.3063892302,2.5057550611000003,0.0550269188,7.4713108701,0.1643528478,38.7493054608,2.5659095484
2,ZIF-8_v2_EQeq,5e-05,0.04,0.19199,0.7679600000000001,112.85241600149999,2.9838988975,8.7886120422,0.19614205699999998,1.9520285919999998,0.0633648613,5.3996292163,0.07245783509999999,128.992685852,3.3158636509
3,ZIF-8_v2_EQeq,0.0001,0.04,0.19197999999999998,0.7679199999999999,160.9701975766,2.7979285018,8.2092692495,0.1656305944,1.5514153267,0.037175164,4.0058580581,0.0632887581,174.7367402109,3.0640230183
4,ZIF-8_v2_EQeq,0.0005,0.04,0.1919,0.7676000000000001,235.021830305,2.7695421986,4.5640613128,0.2829767199,0.6806983942,0.041598945,1.40428438,0.1010848019,241.670874392,3.1952026654
5,ZIF-8_v2_EQeq,0.001,0.04,0.1918,0.7672,250.16980917450002,2.9148348887,3.3629872471,0.35598651159999994,0.5064232029,0.0577788308,0.9264456248999999,0.10748068820000001,254.9656652494,3.4360809193
6,ZIF-8_v2_EQeq,0.005,0.04,0.191,0.764,272.4879500833,4.1130566432,1.7922977152000001,0.16625249949999998,0.2814764014,0.028406719900000002,0.42405465049999996,0.0749321501,274.9857788504,4.3826480127
7,ZIF-8_v2_EQeq,0.01,0.04,0.19,0.76,279.0112441522,4.1411098026,1.4736289736000001,0.2187196462,0.23329443670000002,0.0244549142,0.3205250571,0.0448203609,281.0386926196,4.4291047239
8,ZIF-8_v2_EQeq,0.02,0.04,0.188,0.752,289.6587866173,3.5099698491000004,0.8743505061,0.1142879774,0.1519416058,0.0207989569,0.1981485903,0.0317132616,290.8832273195,3.676770045
9,ZIF-8_v2_EQeq,0.03,0.04,0.18600000000000005,0.7440000000000001,290.591084415,2.5172228174,0.788466008,0.3274084168,0.1447655685,0.032327266800000004,0.18301980760000003,0.036459919,291.7073357991,2.91341842
10,ZIF-8_v2_EQeq,0.04,0.04,0.184,0.736,294.4705647748,3.9547349070999998,0.7907817681999999,0.1944225204,0.1452781426,0.0165455803,0.1792376119,0.0270714484,295.5858622975,4.1927744562
11,ZIF-8_v2_EQeq,0.05,0.04,0.182,0.728,296.5083051865,1.7975053179,0.5989764119,0.10682394099999999,0.1170133427,0.0217150942,0.1311588533,0.0217103147,297.3554537944,1.9477546678
