,MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,NU-100_EQeq,0.0,0.04,0.192,0.768,0.0,0.0,4.9024678336,0.2544736008,3.0421315551,0.0438404862,8.9773462021,0.1722684615,16.9219455908,0.47058254850000003
1,NU-100_EQeq,1e-05,0.04,0.191998,0.767992,0.0002037427,0.0001694079,4.8866181410000005,0.0878595252,3.0596558933999995,0.033087154900000006,9.1159060678,0.25699944690000004,17.0623838449,0.3781155349
2,NU-100_EQeq,5e-05,0.04,0.19199,0.7679600000000001,0.0012224565,0.0005618624,4.9222945708,0.14134475259999998,3.0539136952,0.0574258261,9.0913667097,0.2136782679,17.0687974322,0.413010709
3,NU-100_EQeq,0.0001,0.04,0.19197999999999998,0.7679199999999999,0.0027392081,0.0005972337,4.9065618501,0.1524896417,3.0458320827999996,0.1113075216,9.0630663877,0.23435143519999999,17.0181995287,0.49874583219999996
4,NU-100_EQeq,0.0005,0.04,0.1919,0.7676000000000001,0.012066098300000001,0.0011944673,4.9479114172,0.1667097881,3.0318381331,0.06125212309999999,9.0698808074,0.1253822476,17.061696456,0.3545386261
5,NU-100_EQeq,0.001,0.04,0.1918,0.7672,0.024833977099999998,0.0014782512,4.957561599,0.12904709960000002,3.0585499886000003,0.032308087,9.0917390823,0.2401259854,17.132684647,0.4029594232
6,NU-100_EQeq,0.005,0.04,0.191,0.764,0.1246000093,0.012009199,4.9485547626,0.2615200832,3.0308172977999996,0.051436518099999995,9.1586544488,0.2082307632,17.2626265185,0.5331965635
7,NU-100_EQeq,0.01,0.04,0.19,0.76,0.2446950401,0.0055440661,4.9127028749,0.2750940883,2.9922807675,0.06918381929999999,8.9524344713,0.2159484553,17.1021131538,0.565770429
8,NU-100_EQeq,0.02,0.04,0.188,0.752,0.4852246729,0.0183474087,4.8745115492,0.0566233415,2.9677381869,0.0579295892,8.8424728257,0.094048861,17.1699472347,0.2269492004
9,NU-100_EQeq,0.03,0.04,0.18600000000000005,0.7440000000000001,0.7533727670999999,0.0203739729,4.9920683098000005,0.11713145890000001,2.9719491322000002,0.1139695864,8.8018842061,0.23388294690000003,17.519274415199998,0.48535796509999996
10,NU-100_EQeq,0.04,0.04,0.184,0.736,1.0001505108,0.0182418567,4.898841704700001,0.0456271388,2.9076790468000002,0.0521310806,8.658111123200001,0.1456942652,17.4647823855,0.26169434129999997
11,NU-100_EQeq,0.05,0.04,0.182,0.728,1.2656499492,0.0693407996,4.8894839526,0.2721675993,2.8420053129,0.0600047721,8.5691512954,0.23933982480000002,17.5662905101,0.6408529958
