,MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,NU-125_v2_EQeq,0.0,0.04,0.192,0.768,0.0,0.0,10.107200522100001,0.37939561829999996,3.3852636126999998,0.09957668119999999,10.1173645116,0.19102877850000002,23.609828646399997,0.670001078
1,NU-125_v2_EQeq,1e-05,0.04,0.191998,0.767992,0.0003896096,0.0004452681,10.128338374,0.1407939441,3.41653215,0.09415419550000001,10.2518549917,0.2493445119,23.797115125300003,0.4847379196
2,NU-125_v2_EQeq,5e-05,0.04,0.19199,0.7679600000000001,0.0022263406,0.0011675029,10.1650060764,0.2221403809,3.4334736317,0.10029718539999999,10.233452958700001,0.3480603229,23.834159007399997,0.6716653921
3,NU-125_v2_EQeq,0.0001,0.04,0.19197999999999998,0.7679199999999999,0.0040630716,0.0013903493,10.231295530599999,0.2475889495,3.3954075863,0.1101680359,10.307427300399999,0.19449143929999999,23.938193488899998,0.553638774
4,NU-125_v2_EQeq,0.0005,0.04,0.1919,0.7676000000000001,0.022152088900000002,0.0077331292,10.0239432684,0.5267402111999999,3.4292905498,0.21511231809999998,10.1550841017,0.11707744789999999,23.6304700088,0.8666631064
5,NU-125_v2_EQeq,0.001,0.04,0.1918,0.7672,0.0442485193,0.00431129,10.1717644373,0.2457279597,3.4058652911,0.1064234738,10.296898774,0.2313737718,23.918777021700002,0.5878364953
6,NU-125_v2_EQeq,0.005,0.04,0.191,0.764,0.2302592761,0.0350632741,10.030845424199999,0.315065906,3.4536570019,0.12038448980000001,10.1163574352,0.19651215219999998,23.831119137399998,0.6670258221
7,NU-125_v2_EQeq,0.01,0.04,0.19,0.76,0.45550928590000006,0.0221053312,10.1454499685,0.2529679053,3.425316622,0.0876912063,10.0480593425,0.1933959516,24.0743352189,0.5561603944
8,NU-125_v2_EQeq,0.02,0.04,0.188,0.752,0.9556010422,0.1269260185,10.351220486599999,0.3960607851,3.3556683082,0.0703846262,10.028924890199999,0.13638247779999998,24.691414727199998,0.7297539076
9,NU-125_v2_EQeq,0.03,0.04,0.18600000000000005,0.7440000000000001,1.4388282685,0.1509137909,10.3020426269,0.3397608122,3.3324522036,0.06212052690000001,9.7908886422,0.1693423494,24.8642117412,0.7221374794
10,NU-125_v2_EQeq,0.04,0.04,0.184,0.736,1.9415916334999999,0.22474503070000001,10.1704702831,0.345129835,3.291771732,0.0727681936,9.857447239299999,0.0940827347,25.2612808879,0.736725794
11,NU-125_v2_EQeq,0.05,0.04,0.182,0.728,2.4666184044,0.1659033101,10.2622114365,0.46345133380000003,3.2476402178,0.1243139174,9.6184954672,0.1920227357,25.5949655259,0.945691297
