MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
UIO-66_v2_EQeq,0.0,0.04,0.192,0.768,0.0000000000,0.0000000000,27.7802262292,0.4091249811,1.9715147386,0.0494907944,5.6618493647,0.0913098632,35.4135903325,.5499256387
UIO-66_v2_EQeq,1e-05,0.04,0.191998,0.767992,0.3987377611,0.0376459727,27.4733926616,0.2976146175,1.9447099137,0.0234597895,5.6799107278,0.1407029828,35.4967510642,.4994233625
UIO-66_v2_EQeq,0.04,0.04,0.184,0.736,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.05,0.04,0.182,0.728,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,5e-05,0.04,0.19199000000000002,0.7679600000000001,1.7509194540,0.1373576022,27.1940022277,0.4359807415,1.9455351478,0.0173849997,5.5844129425,0.1106064296,36.4748697720,.7013297730
UIO-66_v2_EQeq,0.0001,0.04,0.19198,0.7679199999999999,3.1255659334,0.1560601959,26.4334954150,0.6497687274,1.9209920755,0.0377541297,5.5420289436,0.0444017751,37.0220823675,.8879848281
UIO-66_v2_EQeq,0.0005,0.04,0.1919,0.7676000000000001,11.5044270410,0.3522175939,23.7254086557,0.3605624573,1.8561042268,0.0152559269,5.1503248025,0.0448935656,42.2362647260,.7729295437
UIO-66_v2_EQeq,0.001,0.04,0.1918,0.7672,18.0557021205,0.5198581155,22.1051290548,0.3997060203,1.8037782745,0.0252145776,4.8520045983,0.0585497320,46.8166140481,1.0033284454
UIO-66_v2_EQeq,0.005,0.04,0.191,0.764,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.01,0.04,0.19,0.76,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.02,0.04,0.188,0.752,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.03,0.04,0.18600000000000003,0.7440000000000001,0.0,0.0,,,,,,,,
