MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
MOF-177_EQeq,0.0,0.04,0.192,0.768,0.0000000000,0.0000000000,3.4873157101,0.1668412458,2.4860507802,0.1127138533,7.9254372052,0.1998950542,13.8988036955,.4794501533
MOF-177_EQeq,1e-05,0.04,0.191998,0.767992,0.0000000000,0.0000000000,3.5275429169,0.2464082789,2.4712487127,0.1018478962,7.9220832327,0.1006625941,13.9208748623,.4489187692
MOF-177_EQeq,0.04,0.04,0.184,0.736,0.6378593336,0.0328673674,3.5852498027,0.2849390927,2.3728584990,0.1119850678,7.6180913543,0.2050800056,14.2140589896,.6348715335
MOF-177_EQeq,0.05,0.04,0.182,0.728,0.7643876676,0.0352004341,3.5126971620,0.1223106519,2.3954969552,0.1075876101,7.4194447056,0.2029533077,14.0920264904,.4680520038
MOF-177_EQeq,5e-05,0.04,0.19199000000000002,0.7679600000000001,0.0008696105,0.0008696105,3.4643287348,0.1057979370,2.4933647430,0.0267884468,7.9605014640,0.3215563545,13.9190645523,.4550123488
MOF-177_EQeq,0.0001,0.04,0.19198,0.7679199999999999,0.0017392211,0.0017392211,3.4317638531,0.1899989641,2.5020718416,0.0606814184,8.0100487862,0.1500171449,13.9456237020,.4024367485
MOF-177_EQeq,0.0005,0.04,0.1919,0.7676000000000001,0.0058698712,0.0057683438,3.3936916753,0.1382307923,2.4583622068,0.0927939804,7.7873145163,0.2318814178,13.6452382696,.4686745343
MOF-177_EQeq,0.001,0.04,0.1918,0.7672,0.0143485740,0.0046424499,3.4612159152,0.1176757964,2.4869214901,0.0846294147,7.8103349644,0.2345391815,13.7728209437,.4414868425
MOF-177_EQeq,0.005,0.04,0.191,0.764,0.0726124804,0.0065075694,3.4561875144,0.2319722655,2.4975441503,0.1263920459,7.8129266705,0.0783058084,13.8392708156,.4431776892
MOF-177_EQeq,0.01,0.04,0.19,0.76,0.1628345742,0.0209158962,3.5493326539,0.3136036770,2.4754281200,0.0812106746,7.7877718762,0.0682514197,13.9753672243,.4839816675
MOF-177_EQeq,0.02,0.04,0.188,0.752,0.3080595350,0.0443330832,3.4415812072,0.1289162715,2.4768212558,0.0572670314,7.7292298093,0.1783518561,13.9556918073,.4088682422
MOF-177_EQeq,0.03,0.04,0.18600000000000003,0.7440000000000001,0.4624154064,0.0377955592,3.4909074250,0.1932412337,2.4315443433,0.1114214712,7.6609307314,0.0712816590,14.0457979061,.4137399231
