,MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,MgMOF-74_EQeq,0.0,0.04,0.192,0.768,0.0,0.0,32.312559304299995,1.4392785512000001,2.7551473975,0.07462736589999999,9.4646700612,0.2665393747,44.532376763,1.7804452918
1,MgMOF-74_EQeq,1e-05,0.04,0.191998,0.767992,0.0001714507,0.0004572018,32.060463142399996,1.0582354245999999,2.7781279407,0.0571888389,9.5181722081,0.21625474420000002,44.3569347419,1.3321362095
2,MgMOF-74_EQeq,5e-05,0.04,0.19199,0.7679600000000001,0.0008001031,0.0005599555000000001,31.7388753045,1.4621749931,2.7870546457,0.0826545892,9.488194975199999,0.1307036647,44.0149250285,1.6760932025
3,MgMOF-74_EQeq,0.0001,0.04,0.19197999999999998,0.7679199999999999,0.0011430044000000001,0.0011987932000000001,32.463187547800004,1.2097530319,2.7816070668,0.061629872300000006,9.4530478719,0.2307178177,44.6989854909,1.5032995151
4,MgMOF-74_EQeq,0.0005,0.04,0.1919,0.7676000000000001,0.0082867822,0.0021986129000000003,32.0818645644,1.1767768134999999,2.7540029481,0.0936170212,9.3739368322,0.34696314170000003,44.2180911269,1.6195555893
5,MgMOF-74_EQeq,0.001,0.04,0.1918,0.7672,0.0165735644,0.0044120564,32.3079013477,0.7751519315000001,2.7974462459,0.0491906863,9.4579772832,0.12830710039999998,44.5798984412,0.9570617746
6,MgMOF-74_EQeq,0.005,0.04,0.191,0.764,0.08121046559999999,0.0059105599,32.2944310409,1.584362864,2.7578482980000003,0.0751491988,9.401028556,0.2408237209,44.5345183605,1.9062463436000001
7,MgMOF-74_EQeq,0.01,0.04,0.19,0.76,0.1652784423,0.0165068204,32.221288534,1.4684467474,2.7134894406,0.0729965655,9.366522677,0.17231137800000002,44.4665790939,1.7302615113
8,MgMOF-74_EQeq,0.02,0.04,0.188,0.752,0.31986979309999997,0.014528301399999999,32.477413198899995,1.3895859144,2.7076298599,0.08915152119999999,9.191588691,0.20386389989999998,44.6965015429,1.6971296369
9,MgMOF-74_EQeq,0.03,0.04,0.18600000000000005,0.7440000000000001,0.4993214904,0.012408838600000001,31.764871737600004,0.930310052,2.7101018705,0.0480161856,9.1701076791,0.1671153175,44.1444027776,1.1578503937
10,MgMOF-74_EQeq,0.04,0.04,0.184,0.736,0.6582562581,0.0124298777,32.0636104103,1.8298408547,2.6705039226,0.0432677181,9.0864279167,0.2891572711,44.478798507700006,2.1746957216
11,MgMOF-74_EQeq,0.05,0.04,0.182,0.728,0.8159908711,0.0288630689,32.542939317300004,0.6901941337999999,2.628342408,0.0356962544,8.971488472999999,0.1473646519,44.9587610694,0.9021181090000001
