,MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,NU-125_v2_EQeq,0.0,0.04,0.192,0.768,0.0,0.0,10.2249685545,0.3483276725,3.4028325567,0.093985389,10.233452958700001,0.3051454642,23.8612540699,0.7474585256999999
1,NU-125_v2_EQeq,1e-05,0.04,0.191998,0.767992,0.00039166879999999997,0.0006395925,10.0436431713,0.5226549229999999,3.4191465761,0.12302279619999999,10.1257873327,0.3259715051,23.588968748899998,0.9722888168000001
2,NU-125_v2_EQeq,5e-05,0.04,0.19199,0.7679600000000001,0.00039166879999999997,0.0010444501,10.1090698559,0.38735327909999995,3.399067783,0.069082936,10.165154866,0.2666193352,23.6736841737,0.7241000004000001
3,NU-125_v2_EQeq,0.0001,0.04,0.19197999999999998,0.7679199999999999,0.0020889003,0.001279185,10.1671630001,0.3757406983,3.3856819208999998,0.0545487354,10.183099137000001,0.2014989982,23.7380329583,0.6330676169
4,NU-125_v2_EQeq,0.0005,0.04,0.1919,0.7676000000000001,0.0118806204,0.0043221815,10.2948528814,0.2978969717,3.4239571203,0.0781979026,10.2215511463,0.2365942257,23.9522417684,0.6170112815
5,NU-125_v2_EQeq,0.001,0.04,0.1918,0.7672,0.023891797000000003,0.0101330505,10.2919769831,0.627519016,3.4639055526,0.0858541259,10.2831659136,0.17881382010000002,24.062940246300002,0.9023200125
6,NU-125_v2_EQeq,0.005,0.04,0.191,0.764,0.1049672393,0.021490687999999997,10.2085759346,0.29945738239999997,3.4292905498,0.1262234136,10.1391539835,0.163198264,23.881987707199997,0.610369748
7,NU-125_v2_EQeq,0.01,0.04,0.19,0.76,0.20732335329999999,0.0198617237,10.0157469585,0.39412881520000004,3.4200877696,0.1452912074,10.17559184,0.15618206710000002,23.8187499214,0.7154638134
8,NU-125_v2_EQeq,0.02,0.04,0.188,0.752,0.409424456,0.0175431873,10.2394918405,0.28515136399999996,3.3980220125,0.09320062330000001,10.0485171045,0.09682176320000001,24.095455413499998,0.49271693780000003
9,NU-125_v2_EQeq,0.03,0.04,0.18600000000000005,0.7440000000000001,0.6245811854,0.0379413676,10.0631992792,0.1483489666,3.3219944988,0.0819110032,10.0201358595,0.19042776600000003,24.0299108229,0.4586291034
10,NU-125_v2_EQeq,0.04,0.04,0.184,0.736,0.8138877737000001,0.049137744000000004,10.2075693702,0.38050709369999997,3.3386222494,0.13131979359999998,9.7509717945,0.13447000550000002,24.1110511878,0.6954346368000001
11,NU-125_v2_EQeq,0.05,0.04,0.182,0.728,1.0142916449,0.0733228921,10.091814466599999,0.3511406961,3.1854168744,0.1231809312,9.6510881227,0.2190528951,23.9426111086,0.7666974145000001
