MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
UIO-66_v2_EQeq,0.0,0.04,0.192,0.768,0.0000000000,0.0000000000,28.0598688205,0.5851019654,1.9620398290,0.0085194726,5.6435739409,0.0896692611,35.6654825904,.6832906991
UIO-66_v2_EQeq,1e-05,0.04,0.191998,0.767992,0.0002289423,0.0002855412,28.1600593732,0.7031374993,1.9713313533,0.0307170304,5.6876436670,0.1096490819,35.8192633358,.8437891528
UIO-66_v2_EQeq,0.04,0.04,0.184,0.736,0.4370507897,0.0106084819,28.0501607594,0.6484389799,1.8914059062,0.0487736843,5.4572877034,0.0379903293,35.8359051587,.7458114754
UIO-66_v2_EQeq,0.05,0.04,0.182,0.728,0.5481259468,0.0167143536,27.7121857490,0.5590223779,1.8713557749,0.0486355858,5.3758911602,0.1032776402,35.5075586309,.7276499575
UIO-66_v2_EQeq,5e-05,0.04,0.19199000000000002,0.7679600000000001,0.0008776120,0.0007077078,27.6507854145,0.3011182074,1.9655241506,0.0424156561,5.6837103035,0.0888946084,35.3008974806,.4331361797
UIO-66_v2_EQeq,0.0001,0.04,0.19198,0.7679199999999999,0.0009157691,0.0009157691,27.8153181384,0.7891801796,1.9531150755,0.0408508212,5.7475538775,0.0621694046,35.5169028605,.8931161745
UIO-66_v2_EQeq,0.0005,0.04,0.1919,0.7676000000000001,0.0063340694,0.0027557735,27.8468378173,0.3552409507,1.9458713543,0.0357389766,5.7004337879,0.1060441555,35.4994770289,.4997798563
UIO-66_v2_EQeq,0.001,0.04,0.1918,0.7672,0.0108366007,0.0016614753,28.0333922902,0.4027102332,1.9520758918,0.0188980852,5.6879112428,0.1477767940,35.6842160255,.5710465877
UIO-66_v2_EQeq,0.005,0.04,0.191,0.764,0.0546790450,0.0040280540,27.7131943787,0.6336162284,1.9553462639,0.0144978847,5.6491662741,0.1549443725,35.3723859617,.8070865396
UIO-66_v2_EQeq,0.01,0.04,0.19,0.76,0.1076410230,0.0085198794,28.0269622757,0.4158096175,1.9365187016,0.0248743970,5.6831483944,0.1298453781,35.7542703947,.5790492720
UIO-66_v2_EQeq,0.02,0.04,0.188,0.752,0.2216161155,0.0083409589,27.7505977310,0.2968249174,1.9111503952,0.0406747248,5.5819512456,0.1168024515,35.4653154873,.4626430526
UIO-66_v2_EQeq,0.03,0.04,0.18600000000000003,0.7440000000000001,0.3336833557,0.0138736412,28.2352863401,0.6470625552,1.9056182706,0.0660678359,5.4759912484,0.1376872742,35.9505792148,.8646913065
