MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
HKUST-1_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,33.0026805341,1.6833028207,2.9638223596,0.1482548266,8.2343211137,0.2754405776,44.2008240074,2.1069982249
HKUST-1_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0000000000,0.0000000000,33.0699656768,1.7342154334,2.9496050056,0.1121514668,8.2505306921,0.2862661480,44.2701013745,2.1326330482
HKUST-1_v2_EQeq,0.04,0.05,0.182,0.728,0.0050095231,0.0008419908,32.7058075736,1.2913325324,2.8730627392,0.0938412702,7.8632375504,0.2012992262,43.4471173863,1.5873150196
HKUST-1_v2_EQeq,0.05,0.05,0.18,0.72,0.0065092556,0.0011634791,32.6437506683,0.4987791536,2.8332210843,0.0438463914,7.8452912314,0.2250581669,43.3287722396,.7688471910
HKUST-1_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0000000000,0.0000000000,32.7969607567,1.5034022507,3.0071356940,0.0820817120,8.2819367503,0.1615868855,44.0860332010,1.7470708482
HKUST-1_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0000104148,0.0000416592,32.9503981598,1.2463910301,2.9677899933,0.1848862188,8.2021914136,0.4045489315,44.1203899815,1.8358678396
HKUST-1_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.0000520740,0.0001140885,33.2227211358,2.0081696985,2.9588628175,0.1003773422,8.1315639647,0.2210301354,44.3131999920,2.3296912646
HKUST-1_v2_EQeq,0.001,0.05,0.1898,0.7592,0.0001249777,0.0001931659,32.8076445463,1.3636740314,3.0082929204,0.0845071306,8.2155064244,0.2629567681,44.0315688688,1.7113310960
HKUST-1_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0004790812,0.0002223995,33.5607380519,0.9987483398,2.9720882631,0.1293738277,8.1092757944,0.1329277963,44.6425811906,1.2612723633
HKUST-1_v2_EQeq,0.01,0.05,0.188,0.752,0.0012601919,0.0002584888,33.2313590933,1.2294285358,2.9034812640,0.1420027371,8.0479109618,0.2684695433,44.1840115110,1.6401593050
HKUST-1_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.0021662803,0.0002763361,33.0374596788,1.9249586176,2.9613425886,0.0733505676,7.9340097276,0.2074538824,43.9349782753,2.2060394037
HKUST-1_v2_EQeq,0.03,0.05,0.184,0.736,0.0037701609,0.0008851975,33.0370050495,1.8252988195,2.9054650809,0.1052493309,8.0645547253,0.2474907752,44.0107950166,2.1789241231
