,MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,MgMOF-74_EQeq,0.0,0.05,0.19,0.76,0.0,0.0,40.452527209,1.5635317658,2.7442522394999997,0.053546221100000006,9.2820013078,0.1590819766,52.478780756300004,1.7761599635
1,MgMOF-74_EQeq,1e-05,0.05,0.189998,0.759992,2.8839e-06,1.1535799999999999e-05,40.2718110839,2.1956710806,2.7365615398000003,0.0186769648,9.306367828700001,0.1790631946,52.3147433363,2.3934227758
2,MgMOF-74_EQeq,5e-05,0.05,0.18999,0.7599600000000001,5.7678999999999994e-06,1.4128399999999998e-05,39.9687921269,1.1958307107,2.7426957884,0.05360333019999999,9.3084918839,0.2505972118,52.0199855671,1.5000453811
3,MgMOF-74_EQeq,0.0001,0.05,0.18997999999999998,0.7599199999999999,1.73037e-05,3.36323e-05,40.8409000725,0.9720849987000001,2.7345930869,0.0709811963,9.2643676414,0.0401874531,52.839878104499995,1.0832872804
4,MgMOF-74_EQeq,0.0005,0.05,0.1899,0.7596,7.78666e-05,4.3163e-05,40.5083597422,0.9409156447,2.7473193638,0.0886105512,9.3436389872,0.155831589,52.5993959598,1.1854009479
5,MgMOF-74_EQeq,0.001,0.05,0.1898,0.7592,0.00014131350000000002,5.28637e-05,40.7346483069,1.1568418955,2.7420548968,0.048892419900000005,9.2856081941,0.1338590623,52.7624527113,1.3396462414
6,MgMOF-74_EQeq,0.005,0.05,0.189,0.7559999999999999,0.0006171651000000001,0.00024430299999999997,40.6706958224,0.6896444261,2.7288250621,0.0366315341,9.2204437814,0.11696779630000001,52.620581831,0.8434880595
7,MgMOF-74_EQeq,0.01,0.05,0.188,0.752,0.0012516338,0.00021918009999999998,40.5083597422,0.88801581,2.7061191867,0.0549727719,9.149147662,0.1202029834,52.3648782247,1.0634107454000001
8,MgMOF-74_EQeq,0.02,0.05,0.18600000000000005,0.7440000000000001,0.0026013219,0.0002131783,40.704308644,1.3244154266,2.6918364587,0.0529978474,9.0698362397,0.18376182800000002,52.4685826643,1.5613882803
9,MgMOF-74_EQeq,0.03,0.05,0.184,0.736,0.0038327681,0.0005111672,39.9169880966,1.7544566255,2.6385051184,0.0460887591,9.0053130513,0.117714377,51.564639034399995,1.9187709287999999
10,MgMOF-74_EQeq,0.04,0.05,0.182,0.728,0.0050642142,0.0002620429,40.3481638041,1.1742806895,2.6454175925,0.0511621656,8.9222745131,0.1346431091,51.920920123900004,1.3603480071
11,MgMOF-74_EQeq,0.05,0.05,0.18,0.72,0.0065292603,0.00037971870000000005,40.369502280700004,0.5371517492,2.5772999664,0.071387225,8.842882937799999,0.21986532539999998,51.79621444520001,0.8287840183
