MOF,H2_comp,CO2_comp,O2_comp,N2_comp,H2_mass,H2_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
UIO-66_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,32.5865149741,0.2503216266,1.8519780565,0.0380475370,5.3571876152,0.1280033393,39.7956806458,.4163725029
UIO-66_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0000000000,0.0000000000,32.3022494966,0.3668337840,1.8642954390,0.0319166613,5.3871560992,0.0722146451,39.5537010348,.4709650904
UIO-66_v2_EQeq,0.04,0.05,0.182,0.728,0.0026417911,0.0002967026,32.7092315907,0.4048492067,1.7844616846,0.0421615281,5.1128106823,0.1263599561,39.6091457487,.5736673935
UIO-66_v2_EQeq,0.05,0.05,0.18,0.72,0.0033426745,0.0003157826,32.8899864427,0.6994165863,1.7796325371,0.0344307855,5.0467997447,0.0646822191,39.7197613990,.7988453735
UIO-66_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0000115530,0.0000144092,32.6429141863,1.0659790374,1.8514890289,0.0448387070,5.3590071303,0.1017780214,39.8534218985,1.2126101750
UIO-66_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0000077020,0.0000188660,32.4079454866,0.5114121424,1.8708056188,0.0363487666,5.3814834933,0.0830576852,39.6602423007,.6308374602
UIO-66_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.0000211805,0.0000282990,32.4862403690,0.4693760353,1.8569294609,0.0421569192,5.3331593128,0.1248730360,39.6763503232,.6364342895
UIO-66_v2_EQeq,0.001,0.05,0.1898,0.7592,0.0000693181,0.0000445786,32.6921689378,0.4417888388,1.8610250670,0.0240634995,5.3510868881,0.1340102492,39.9043502110,.5999071661
UIO-66_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0003485162,0.0001021788,32.6832173490,0.5552680821,1.8555235066,0.0345099196,5.3367715854,0.1167282336,39.8758609572,.7066084141
UIO-66_v2_EQeq,0.01,0.05,0.188,0.752,0.0006238632,0.0001363713,32.5410425840,0.6962053841,1.8535673962,0.0321148417,5.2723928599,0.0776339765,39.6676267033,.8060905736
UIO-66_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.0012573539,0.0002280239,32.7953013272,0.3605816588,1.8206802906,0.0157486152,5.2228913460,0.1249791995,39.8401303177,.5015374974
UIO-66_v2_EQeq,0.03,0.05,0.184,0.736,0.0020679910,0.0002996371,32.5806733270,0.8172258312,1.8083934724,0.0541187390,5.1761726200,0.0732341875,39.5673074104,.9448783948
