,MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,IRMOF-1_v2_EQeq,0.0,0.05,0.19,0.76,0.0,0.0,3.9467799376,0.238461987,1.7898492041999998,0.029904768199999997,5.6735582760000005,0.1237408705,11.4101874178,0.3921076257
1,IRMOF-1_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0002764773,0.0006772282000000001,3.9753513244,0.109297225,1.7475120368000001,0.0574624214,5.7251753546,0.2267258029,11.4483151931,0.3941626775
2,IRMOF-1_v2_EQeq,5e-05,0.05,0.18999,0.7599600000000001,0.0022118181,0.0030787205,3.7789230404,0.1299409268,1.7958231603,0.0809347189,5.6828811845,0.205167,11.259839203299999,0.41912136619999996
3,IRMOF-1_v2_EQeq,0.0001,0.05,0.18997999999999998,0.7599199999999999,0.004147159,0.0026228936,3.8517800767000003,0.1752692153,1.8116671309,0.1017029613,5.714488118099999,0.0889247038,11.3820824847,0.36851977399999997
4,IRMOF-1_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.01921517,0.0023783474,3.7453516610000004,0.18939457,1.8171216125999998,0.0966054883,5.6876563327,0.2245902998,11.2693447763,0.5129687055
5,IRMOF-1_v2_EQeq,0.001,0.05,0.1898,0.7592,0.036494999,0.0036469856,3.839280095,0.2245172949,1.7745247080000002,0.0839654558,5.7244931906,0.1105302227,11.3747929926,0.422659959
6,IRMOF-1_v2_EQeq,0.005,0.05,0.189,0.7559999999999999,0.1830279498,0.0337415555,3.8778514670999997,0.19378847149999998,1.7841349853,0.0488803095,5.7304052789,0.1193334364,11.5754196811,0.3957437729
7,IRMOF-1_v2_EQeq,0.01,0.05,0.188,0.752,0.3974360692,0.0687756301,3.7724944783999996,0.1365498582,1.7545249418000002,0.0980417707,5.6128456769,0.18962251530000002,11.5373011663,0.4929897743
8,IRMOF-1_v2_EQeq,0.02,0.05,0.18600000000000005,0.7440000000000001,0.7604507187999999,0.1297247122,3.7914230220999996,0.2208560804,1.758161263,0.068550947,5.584422175499999,0.1757837285,11.8944571794,0.5949154681000001
9,IRMOF-1_v2_EQeq,0.03,0.05,0.184,0.736,1.1594074129,0.1018870304,3.8232086899,0.3541440388,1.7150448838999999,0.043480973099999994,5.447761980499999,0.21607652730000002,12.1454229672,0.7155885696
10,IRMOF-1_v2_EQeq,0.04,0.05,0.182,0.728,1.5589170615999999,0.2583940016,3.8182086972000002,0.30471085929999997,1.7347849129,0.09434433980000001,5.466180409500001,0.1422104331,12.578091081199998,0.7996596337999999
11,IRMOF-1_v2_EQeq,0.05,0.05,0.18,0.72,2.0293431288,0.3211756795,3.8310658213,0.1144996319,1.6994606506,0.0550642913,5.3940984098,0.0822956137,12.953968010499999,0.5730352164
