,MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
0,UIO-66_v2_EQeq,0.0,0.05,0.19,0.76,0.0,0.0,32.7406672171,0.8891951873,1.8605971678,0.0364824704,5.3272994039,0.1380299825,39.9285637888,1.0637076401999999
1,UIO-66_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.37056324240000005,0.0376742752,32.4812392466,0.5830273279,1.8680854029,0.0330399126,5.3300821917,0.0584284967,40.0499700836,0.7121700124
2,UIO-66_v2_EQeq,5e-05,0.05,0.18999,0.7599600000000001,1.6582786434,0.0894775151,31.7529665588,0.47041802369999997,1.8487688130000002,0.0484230698,5.3128770709,0.1207515021,40.5728910861,0.7290701106999999
3,UIO-66_v2_EQeq,0.0001,0.05,0.18997999999999998,0.7599199999999999,3.0582691758999996,0.1825419536,30.958712676599998,0.2522191463,1.8460791612,0.0319322286,5.205712982900001,0.137244754,41.0687739966,0.6039380825
4,UIO-66_v2_EQeq,0.0005,0.05,0.1899,0.7596,11.5035648877,0.34315240140000003,28.062558499699996,0.6530761936999999,1.7846145057,0.0170431115,4.8477501439,0.074270777,46.198488037,1.0875424836
5,UIO-66_v2_EQeq,0.001,0.05,0.1898,0.7592,17.4244920461,0.7088058815,26.5887403402,0.39003492149999996,1.7415800775999999,0.032515163799999997,4.6370342404,0.051257234299999996,50.3918467043,1.1826132011
6,UIO-66_v2_EQeq,0.005,0.05,0.189,0.7559999999999999,0.0,0.0,,,,,,,,
7,UIO-66_v2_EQeq,0.01,0.05,0.188,0.752,0.0,0.0,,,,,,,,
8,UIO-66_v2_EQeq,0.02,0.05,0.18600000000000005,0.7440000000000001,0.0,0.0,,,,,,,,
9,UIO-66_v2_EQeq,0.03,0.05,0.184,0.736,0.0,0.0,,,,,,,,
10,UIO-66_v2_EQeq,0.04,0.05,0.182,0.728,0.0,0.0,,,,,,,,
11,UIO-66_v2_EQeq,0.05,0.05,0.18,0.72,0.0,0.0,,,,,,,,
