MOF,acetone_comp,CO2_comp,O2_comp,N2_comp,acetone_mass,acetone_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
ZIF-8_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,9.5361998483,0.2582269665,2.5433926444,0.0803626188,7.7819637554,0.1365682908,19.8615562481,.4751578761
ZIF-8_v2_EQeq,1e-05,0.05,0.189998,0.759992,21.2617316311,2.3899354089,10.2093812720,0.1486495896,2.4659207317,0.0341840172,7.4525281017,0.1829768600,41.3895617365,2.7557458757
ZIF-8_v2_EQeq,0.04,0.05,0.182,0.728,292.4252501080,2.6347334970,0.9708069530,0.1986931554,0.1446923437,0.0374447673,0.1825069675,0.0216959242,293.7232563722,2.8925673439
ZIF-8_v2_EQeq,0.05,0.05,0.18,0.72,295.6303559918,3.9025451565,0.8205845952,0.3149307701,0.1327566898,0.0502593661,0.1553264427,0.0678237080,296.7390237195,4.3355590007
ZIF-8_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,109.7364737184,3.4931104241,11.0064055242,0.2292326445,1.9309398294,0.0617698548,5.4283482614,0.1873702524,128.1021673334,3.9714831758
ZIF-8_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,160.8678786906,2.5284106009,10.2251888525,0.1569028638,1.5178051112,0.0695946056,3.9408555766,0.1122537142,176.5517282309,2.8671617845
ZIF-8_v2_EQeq,0.0005,0.05,0.1899,0.7596,234.7973931642,2.7760679105,5.6298144343,0.4326026023,0.6650282719,0.0298542026,1.3898607524,0.0729901360,242.4820966228,3.3115148514
ZIF-8_v2_EQeq,0.001,0.05,0.1898,0.7592,248.5145022096,3.8973756106,4.0857058022,0.3377897963,0.5078877003,0.0367539251,0.9170221883,0.0342826984,254.0251179004,4.3062020304
ZIF-8_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,273.0515012463,5.3148012742,2.1058315102,0.2715979083,0.2706391206,0.0333551944,0.4129644835,0.0481847995,275.8409363606,5.6679391764
ZIF-8_v2_EQeq,0.01,0.05,0.188,0.752,281.8581010533,5.5279725003,1.5300127004,0.3937862921,0.2086908803,0.0417625772,0.2946266325,0.0760647494,283.8914312665,6.0395861190
ZIF-8_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,286.5070991649,6.1064955495,1.2967250308,0.2593612346,0.1885540410,0.0233218625,0.2396886377,0.0306483639,288.2320668744,6.4198270105
ZIF-8_v2_EQeq,0.03,0.05,0.184,0.736,294.3542933135,4.2931791506,1.0892127792,0.2143064171,0.1451316929,0.0189854452,0.1957767049,0.0363569808,295.7844144905,4.5628279937
