MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
HKUST-1_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,32.4207549759,2.1958649005,3.0097807831,0.0811332852,8.2363473110,0.4137808396,43.6668830700,2.6907790253
HKUST-1_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0047512658,0.0015137753,32.5698734002,1.4227940324,3.0377195369,0.1833018850,8.2506754205,0.2055929662,43.8630196234,1.8132026589
HKUST-1_v2_EQeq,0.04,0.05,0.182,0.728,16.5067771125,1.1894497003,30.3490090629,0.5031976725,2.6315330388,0.1533082450,7.2705748390,0.2387051445,56.7578940532,2.0846607623
HKUST-1_v2_EQeq,0.05,0.05,0.18,0.72,19.2343556041,1.6035342126,29.5349952254,1.3346898562,2.5822682540,0.0609214472,7.1122419926,0.1072498810,58.4638610761,3.1063953970
HKUST-1_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0243722336,0.0164851866,32.4578072673,1.3875840163,3.0570617511,0.1902339103,8.2788974544,0.3278557493,43.8181387064,1.9221588625
HKUST-1_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0505041953,0.0140491998,33.0279124626,1.3690741259,2.9963900194,0.0967979299,8.1806268851,0.4086821910,44.2554335624,1.8886034466
HKUST-1_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.2502333300,0.0575659741,32.8749296889,1.7441833241,2.9801888485,0.1078025939,8.2658719003,0.1383215690,44.3712237677,2.0478734611
HKUST-1_v2_EQeq,0.001,0.05,0.1898,0.7592,0.4796138825,0.0843447774,33.3104645989,1.3906422710,3.0020108338,0.0710090666,8.1655751337,0.3334788078,44.9576644489,1.8794749228
HKUST-1_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,2.3414941554,0.1076251753,32.0204538400,0.5930350066,2.9674593571,0.0571436443,8.0159259900,0.1577669447,45.3453333425,.9155707709
HKUST-1_v2_EQeq,0.01,0.05,0.188,0.752,4.7285652675,0.5028570648,31.7083507965,0.4600332291,2.8765344186,0.0996636271,8.0651336388,0.2477340650,47.3785841214,1.3102879860
HKUST-1_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,8.7115337564,0.5537414326,31.0498201941,0.9419338504,2.7927181571,0.1008554046,7.8487647125,0.1634480064,50.4028368201,1.7599786940
HKUST-1_v2_EQeq,0.03,0.05,0.184,0.736,13.1310027904,1.8363000832,30.4299330858,0.7681522092,2.7340302423,0.0366633588,7.4692869032,0.2063796234,53.7642530217,2.8474952746
