MOF,ammonia_comp,CO2_comp,O2_comp,N2_comp,ammonia_mass,ammonia_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
UIO-66_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,32.7406672171,0.8891951873,1.8605971678,0.0364824704,5.3272994039,0.1380299825,39.9285637888,1.0637076402
UIO-66_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.3705632424,0.0376742752,32.4812392466,0.5830273279,1.8680854029,0.0330399126,5.3300821917,0.0584284967,40.0499700836,.7121700124
UIO-66_v2_EQeq,0.04,0.05,0.182,0.728,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.05,0.05,0.18,0.72,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,1.6582786434,0.0894775151,31.7529665588,0.4704180237,1.8487688130,0.0484230698,5.3128770709,0.1207515021,40.5728910861,.7290701107
UIO-66_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,3.0582691759,0.1825419536,30.9587126766,0.2522191463,1.8460791612,0.0319322286,5.2057129829,0.1372447540,41.0687739966,.6039380825
UIO-66_v2_EQeq,0.0005,0.05,0.1899,0.7596,11.5035648877,0.3431524014,28.0625584997,0.6530761937,1.7846145057,0.0170431115,4.8477501439,0.0742707770,46.1984880370,1.0875424836
UIO-66_v2_EQeq,0.001,0.05,0.1898,0.7592,17.4244920461,0.7088058815,26.5887403402,0.3900349215,1.7415800776,0.0325151638,4.6370342404,0.0512572343,50.3918467043,1.1826132011
UIO-66_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.01,0.05,0.188,0.752,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.0,0.0,,,,,,,,
UIO-66_v2_EQeq,0.03,0.05,0.184,0.736,0.0,0.0,,,,,,,,
