MOF,argon_comp,CO2_comp,O2_comp,N2_comp,argon_mass,argon_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-125_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,12.4713326592,0.5630425586,3.3766882948,0.0667408064,10.1048218324,0.1585063758,25.9528427864,.7882897408
NU-125_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0002611125,0.0006395925,12.6215983415,0.2641180214,3.3662305900,0.0975550845,10.0245303749,0.1383514034,26.0126204189,.5006641018
NU-125_v2_EQeq,0.04,0.05,0.182,0.728,0.8104933108,0.0395703965,12.4573845528,0.3488366155,3.2474310637,0.0499111969,9.6740677759,0.1650124828,26.1893767032,.6033306917
NU-125_v2_EQeq,0.05,0.05,0.18,0.72,1.0131166385,0.0093782667,12.4639991187,0.3577453251,3.2394832081,0.0902751332,9.5148581469,0.1586427480,26.2314571122,.6160414730
NU-125_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0013055627,0.0024771310,12.5603417093,0.5754652949,3.3893421175,0.1143768881,10.0474184756,0.2781102223,25.9984078651,.9704295363
NU-125_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0020889003,0.0015225346,12.5489819113,0.4366755761,3.3708319801,0.0630959358,9.9889164901,0.2983773580,25.9108192818,.7996714045
NU-125_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.0103139452,0.0041614490,12.5508512451,0.5257796389,3.3719823276,0.0855396782,10.1877683096,0.2802488297,26.1209158275,.8957295958
NU-125_v2_EQeq,0.001,0.05,0.1898,0.7592,0.0215417842,0.0074771251,12.6041991572,0.2736238452,3.3414458297,0.1051622965,10.0835816749,0.2041557005,26.0507684460,.5904189673
NU-125_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.1065339146,0.0130399506,12.4854245605,0.2500569942,3.3886100782,0.1138970323,10.0154666870,0.3084375323,25.9960352403,.6854315094
NU-125_v2_EQeq,0.01,0.05,0.188,0.752,0.2099344787,0.0166703535,12.5551650925,0.4235433651,3.3412366756,0.0364672626,10.0610597837,0.2237510763,26.1673960305,.7004320575
NU-125_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.4074661119,0.0259199406,12.3597478080,0.2156375262,3.2857062632,0.0410624411,9.9664861513,0.2375797384,26.0194063344,.5201996463
NU-125_v2_EQeq,0.03,0.05,0.184,0.736,0.6104811084,0.0251997272,12.4719078388,0.2229134669,3.2892618828,0.1082614409,9.7339430475,0.2289230447,26.1055938775,.5852976797
