MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
HKUST-1_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,32.6094261530,2.0484303652,3.0264779082,0.1649228180,8.3163821045,0.1767763394,43.9522861657,2.3901295226
HKUST-1_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0686692085,0.0151055430,32.4248466400,1.6040774132,2.9932489761,0.1153223593,8.2784632692,0.2732462594,43.7652280938,2.0077515749
HKUST-1_v2_EQeq,0.04,0.05,0.182,0.728,65.7655574500,1.5195883141,12.5932327829,1.0875765859,1.9431485952,0.0613006894,5.7371776653,0.1349483291,86.0391164934,2.8034139185
HKUST-1_v2_EQeq,0.05,0.05,0.18,0.72,75.2721931076,2.3377694845,11.5957760058,1.1115781321,1.8652837842,0.0723677845,5.4988100254,0.1865152976,94.2320629230,3.7082306987
HKUST-1_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.3257385532,0.0557799038,32.2109435344,0.6811776840,2.9742373980,0.2109717677,8.1985732041,0.0989273257,43.7094926897,1.0468566812
HKUST-1_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.6539421550,0.1101300253,32.8556079419,1.0676170336,2.9138963025,0.0478498011,8.1511022959,0.4276981943,44.5745486953,1.6532950543
HKUST-1_v2_EQeq,0.0005,0.05,0.1899,0.7596,3.3028128550,0.3503785976,30.2178484976,0.8907166947,2.9176986181,0.0908100450,7.9353122830,0.2061480871,44.3736722537,1.5380534244
HKUST-1_v2_EQeq,0.001,0.05,0.1898,0.7592,5.8728020026,0.4169123328,29.4647549920,0.9121788534,2.8019759690,0.0760060502,7.7366002189,0.1958178710,45.8761331825,1.6009151074
HKUST-1_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,19.3675340013,0.5130332945,21.7258270120,0.7583203802,2.4553039762,0.0693122501,6.9906701544,0.0811852677,50.5393351439,1.4218511925
HKUST-1_v2_EQeq,0.01,0.05,0.188,0.752,29.6809448215,1.7265746418,18.1401653889,1.7448272593,2.2989130819,0.0419582342,6.5986009761,0.1967658825,56.7186242684,3.7101260178
HKUST-1_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,44.3974605072,1.6367236437,14.5626870940,1.2441282286,2.1064828484,0.0747530218,6.2087027235,0.2451057885,67.2753331731,3.2007106826
HKUST-1_v2_EQeq,0.03,0.05,0.184,0.736,55.1565168833,1.7273025681,13.1083278278,0.3254504721,2.0441579360,0.1128675753,5.8345798643,0.1775420252,76.1435825114,2.3431626407
