MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
IRMOF-1_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,3.8132087045,0.1891789384,1.8282903132,0.0448195375,5.7183537143,0.0850029795,11.3598527320,.3190014554
IRMOF-1_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0005532753,0.0013552422,3.7635659201,0.0727589311,1.7836155108,0.0952722366,5.6808346924,0.0955744029,11.2285693986,.2649608128
IRMOF-1_v2_EQeq,0.04,0.05,0.182,0.728,3.8942283294,0.0365580618,3.7707087667,0.3011165275,1.6901101105,0.0683972496,5.4532192928,0.1069603816,14.8082664994,.5130322205
IRMOF-1_v2_EQeq,0.05,0.05,0.18,0.72,4.9164044803,0.2478068208,3.8167801279,0.2226987938,1.6779024610,0.1084943243,5.4056951984,0.2002491978,15.8167822676,.7792491367
IRMOF-1_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0035962896,0.0037524958,3.7921373068,0.1518858790,1.8085502842,0.0737141378,5.7254027426,0.1698781730,11.3296866232,.3992306856
IRMOF-1_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0071925791,0.0044262025,3.6553517927,0.2091403067,1.7919271020,0.0381875555,5.6383131342,0.1365191870,11.0927846080,.3882732517
IRMOF-1_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.0437087502,0.0090236474,3.7639230624,0.1681287132,1.8043944887,0.0927170937,5.7053925976,0.2350730181,11.3174188989,.5049424724
IRMOF-1_v2_EQeq,0.001,0.05,0.1898,0.7592,0.0813314718,0.0182161225,3.8274943979,0.1436866658,1.8002386931,0.0951418547,5.7094855818,0.0171010298,11.4185501446,.2741456728
IRMOF-1_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.4589418767,0.0485938282,3.8382086680,0.1871725699,1.7597196863,0.0493364001,5.6876563327,0.2228615969,11.7445265637,.5079643951
IRMOF-1_v2_EQeq,0.01,0.05,0.188,0.752,0.9272894338,0.0626839205,3.8303515366,0.1612607389,1.7979010581,0.0982287580,5.6396774623,0.2153478520,12.1952194908,.5375212694
IRMOF-1_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,1.9184821669,0.1073268556,3.8417800913,0.0813971179,1.7355641246,0.1421178034,5.4661804095,0.0528284553,12.9620067923,.3836702322
IRMOF-1_v2_EQeq,0.03,0.05,0.184,0.736,2.9019290456,0.0560694787,3.7467802303,0.1652206987,1.7308888545,0.1091069481,5.5312133808,0.1259409394,13.9108115112,.4563380649
