MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-100_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,6.1377495953,0.2011122222,3.0188650185,0.0844293422,8.9963744449,0.2454167359,18.1529890587,.5309583003
NU-100_EQeq,1e-05,0.05,0.189998,0.759992,0.0043943359,0.0010947827,6.0568635257,0.2210931077,2.9776913305,0.0441456329,8.9051431439,0.2226776533,17.9440923360,.4890111766
NU-100_EQeq,0.04,0.05,0.182,0.728,12.9811854918,0.2456082141,5.3722854744,0.1261591708,2.7516613940,0.0390937175,8.2435486441,0.1717010927,29.3486810043,.5825621951
NU-100_EQeq,0.05,0.05,0.18,0.72,15.5677731721,0.6505540592,5.3015759602,0.1007559319,2.6809685535,0.0344579152,8.1264374435,0.1604136113,31.6767551293,.9461815176
NU-100_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0185286949,0.0040661299,6.0831237175,0.2286347393,3.0092521534,0.0731740029,8.9954062760,0.3018622815,18.1063108418,.6077371536
NU-100_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0412705159,0.0059441211,6.0473303158,0.2342038033,2.9672277692,0.0914155917,9.0325318299,0.1155197213,18.0883604308,.4470832374
NU-100_EQeq,0.0005,0.05,0.1899,0.7596,0.1928071523,0.0251261519,6.0911362927,0.1977218226,2.9987885921,0.0748393038,8.9818146740,0.2888563611,18.2645467111,.5865436394
NU-100_EQeq,0.001,0.05,0.1898,0.7592,0.3984801954,0.0266806329,6.0330597438,0.1596464629,3.0151644908,0.0665919509,8.9014566546,0.0998499348,18.3481610846,.3527689815
NU-100_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,1.8990326637,0.1042268682,5.9815336214,0.0710594431,2.9512346838,0.0170593722,8.7620775691,0.2330171583,19.5938785380,.4253628418
NU-100_EQeq,0.01,0.05,0.188,0.752,3.7383567216,0.2087379565,5.7931503746,0.2294050110,2.8894316169,0.0378893176,8.6909916288,0.1324227536,21.1119303419,.6084550387
NU-100_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,7.0920051872,0.2819863869,5.6685168140,0.1216909234,2.8505122733,0.0550968706,8.5332545713,0.2465519153,24.1442888458,.7053260962
NU-100_EQeq,0.03,0.05,0.184,0.736,10.2231281049,0.2507389409,5.5188512665,0.1374893120,2.7959826574,0.0419302544,8.3766718690,0.0998526567,26.9146338978,.5300111640
