MOF,H2S_comp,CO2_comp,O2_comp,N2_comp,H2S_mass,H2S_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
NU-125_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,12.6230362906,0.1647289802,3.4062835993,0.0721311801,10.1224914462,0.1442175579,26.1518113361,.3810777182
NU-125_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0049007908,0.0037540725,12.5905386407,0.7108528166,3.3852636127,0.0725659223,10.1643308944,0.3796176428,26.1450339386,1.1667904542
NU-125_v2_EQeq,0.04,0.05,0.182,0.728,17.6239119179,0.7038538650,11.2762531511,0.2216353095,3.0697546596,0.0359258310,9.1463597246,0.1272026334,41.1162794532,1.0886176389
NU-125_v2_EQeq,0.05,0.05,0.18,0.72,22.0010977516,0.5653822608,11.0648746315,0.3117643468,2.9898577951,0.0477265632,8.9113447059,0.1836271914,44.9671748841,1.1085003622
NU-125_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0265088228,0.0025005109,12.5791788427,0.3461762071,3.3834858029,0.1294550653,10.0646303274,0.2214823504,26.0538037958,.6996141337
NU-125_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0456664595,0.0072867752,12.6939271819,0.3181718390,3.3903878880,0.1185684218,10.0982300594,0.2801796726,26.2282115888,.7242067086
NU-125_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.2430346698,0.0264760433,12.5108762598,0.4228792962,3.3555637311,0.0630369764,10.0301150715,0.1552005237,26.1395897322,.6675928396
NU-125_v2_EQeq,0.001,0.05,0.1898,0.7592,0.4994351327,0.0309023250,12.4992288720,0.3642826620,3.3822308783,0.1268870861,10.1310058197,0.2354393183,26.5119007027,.7575113914
NU-125_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,2.3905834639,0.1260938198,12.1791413994,0.3986389165,3.3311972790,0.1288436762,9.8947090673,0.2616007030,27.7956312096,.9151771155
NU-125_v2_EQeq,0.01,0.05,0.188,0.752,4.8393081275,0.0349929746,12.1703699098,0.1585076556,3.3171839546,0.1029837046,9.8524118571,0.2976205143,30.1792738490,.5941048491
NU-125_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,9.4397027047,0.3773561556,12.0186662783,0.2985406770,3.2137572544,0.0582538276,9.6866104551,0.4274524344,34.3587366925,1.1616030946
NU-125_v2_EQeq,0.03,0.05,0.184,0.736,13.5858830822,0.3434886011,11.4762718728,0.2606284255,3.1335466587,0.1049307566,9.3728603698,0.2188945779,37.5685619835,.9279423611
