MOF,CH4_comp,CO2_comp,O2_comp,N2_comp,CH4_mass,CH4_error,CO2_mass,CO2_error,O2_mass,O2_error,N2_mass,N2_error,total_mass,total_error
UIO-66_v2_EQeq,0.0,0.05,0.19,0.76,0.0000000000,0.0000000000,32.6043761255,0.5104115998,1.8645705170,0.0483181627,5.3974577656,0.0942163969,39.8664044081,.6529461594
UIO-66_v2_EQeq,1e-05,0.05,0.189998,0.759992,0.0001992021,0.0002078546,32.3993721339,0.8795733543,1.8638981041,0.0364156286,5.3680244331,0.0937648351,39.6314938732,1.0099616726
UIO-66_v2_EQeq,0.04,0.05,0.182,0.728,0.7071982550,0.0143426198,32.2227358533,0.4293850552,1.7603770756,0.0396239680,5.0469602901,0.0871898939,39.7372714740,.5705415369
UIO-66_v2_EQeq,0.05,0.05,0.18,0.72,0.8836453842,0.0184688231,31.9555750549,0.6677548289,1.7300573649,0.0192640951,4.9871303523,0.1016639407,39.5564081563,.8071516878
UIO-66_v2_EQeq,5e-05,0.05,0.18999000000000002,0.7599600000000001,0.0009193945,0.0002167034,32.6048804404,0.7435618003,1.8517946712,0.0404620467,5.3656430089,0.1063272908,39.8232375150,.8905678412
UIO-66_v2_EQeq,0.0001,0.05,0.18998,0.7599199999999999,0.0019460517,0.0006250681,32.3259102689,0.3089603052,1.8737397844,0.0358928638,5.3727337663,0.1371443684,39.5743298713,.4826226055
UIO-66_v2_EQeq,0.0005,0.05,0.1899,0.7596,0.0090866824,0.0011532203,32.6519078013,0.6573690122,1.8578158234,0.0231671177,5.3203959495,0.1362797315,39.8392062566,.8179690817
UIO-66_v2_EQeq,0.001,0.05,0.1898,0.7592,0.0184032134,0.0028410464,32.4966208499,0.4846187978,1.8526199052,0.0273206558,5.3259882827,0.1012266189,39.6936322512,.6160071189
UIO-66_v2_EQeq,0.005,0.05,0.18899999999999997,0.7559999999999999,0.0892578834,0.0023857062,32.2973744529,0.5113724661,1.8446426426,0.0362727172,5.3538696759,0.0493723594,39.5851446548,.5994032489
UIO-66_v2_EQeq,0.01,0.05,0.188,0.752,0.1817796173,0.0070882872,32.3493609100,0.6276447060,1.8467210099,0.0142120686,5.2668005267,0.0422872639,39.6446620639,.6912323257
UIO-66_v2_EQeq,0.02,0.05,0.18600000000000003,0.7440000000000001,0.3594832524,0.0164137599,32.3181354148,0.2664928026,1.8247758967,0.0133080438,5.2075860131,0.1179213831,39.7099805770,.4141359894
UIO-66_v2_EQeq,0.03,0.05,0.184,0.736,0.5320536014,0.0124145119,32.2093294832,0.9652868762,1.7921638691,0.0231880762,5.1198479245,0.1302726939,39.6533948782,1.1311621582
