MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
IRMOF-1_v2_EQeq,0.15,0.02,0.0,0.0,0.0,0.8300000000000001,13.2559489167,0.8057154162,13.9199796261,1.2693672607,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,56.7360375361,2.5374356889,83.9119660789,4.6125183658
IRMOF-1_v2_EQeq,0.15,0.02,0.0,0.0,1e-05,0.82999,13.0897170939,0.4374653432,13.9942652317,1.2697530592,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0044262025,0.0082806667,56.3058194182,1.4124379810,83.3942279463,3.1279370501
IRMOF-1_v2_EQeq,0.15,0.02,0.0,1e-05,4e-05,0.82995,13.1416645385,0.4079988148,14.0914079466,0.9033891170,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0398358229,0.0256184994,56.5468507105,2.1705502464,83.8197590185,3.5075566776
IRMOF-1_v2_EQeq,0.15,0.02,2e-05,4e-05,4e-05,0.8299,13.1354308451,0.6799712151,13.8828368234,1.0872003970,0.0000654523,0.0002618094,0.0026043627,0.0057058727,0.0431554748,0.0274638646,56.3449301562,1.6093633541,83.4090231145,3.4099665129
IRMOF-1_v2_EQeq,0.15,0.02,2e-05,4e-05,5e-05,0.82989,13.1873782898,0.7525490596,13.9142653488,1.0347024263,0.0000000000,0.0000000000,0.0041669803,0.0062504704,0.0431554748,0.0308249338,56.6250721864,3.3093118449,83.7740382801,5.1336387350
IRMOF-1_v2_EQeq,0.15,0.02,2e-05,5e-05,0.0,0.8299300000000001,13.1302361007,0.4915710681,13.8428368819,0.8382671535,0.0001963570,0.0003206497,0.0052087253,0.0032942872,0.0000000000,0.0000000000,56.7969775232,1.6582109184,83.7754555881,2.9916640769
IRMOF-1_v2_EQeq,0.15,0.02,2e-05,5e-05,1e-05,0.8299200000000001,13.0886781450,0.3525452280,13.9842652463,1.6915226180,0.0001309047,0.0003206497,0.0036461077,0.0062504704,0.0055327532,0.0139968814,56.3831313421,3.0818812498,83.4653844990,5.1465170973
IRMOF-1_v2_EQeq,0.15,0.02,2e-05,5e-05,2e-05,0.82991,13.0491980871,0.1835149634,14.2185506177,1.0416847065,0.0000000000,0.0000000000,0.0052087253,0.0046588256,0.0143851583,0.0238358302,56.6114289057,2.0116231776,83.8987714941,3.2653175033
IRMOF-1_v2_EQeq,0.15,0.02,2e-05,5e-05,3.0000000000000008e-05,0.8299000000000001,13.2091962165,0.5087837850,13.8556940059,1.8611226761,0.0000000000,0.0000000000,0.0036461077,0.0025517439,0.0298768672,0.0150099831,56.5413933982,1.2170526928,83.6398065955,3.6045208809
IRMOF-1_v2_EQeq,0.15,0.02,2e-05,5e-05,4e-05,0.82989,13.2299751943,0.6599542063,14.3985503542,1.1592169001,0.0000654523,0.0002618094,0.0067713429,0.0070654588,0.0431554748,0.0236294555,56.3140053866,1.9444546513,83.9925232051,3.7945824814
