MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
MgMOF-74_EQeq,0.15,0.02,0.0,0.0,0.0,0.8300000000000001,15.0334868378,0.1878874416,121.6451789711,4.0112133544,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,66.7006256314,0.9599865625,203.3792914403,5.1590873585
MgMOF-74_EQeq,0.15,0.02,0.0,0.0,1e-05,0.82999,15.0470371182,0.2186739430,123.3396680290,3.2787034545,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0702095474,0.0148527773,66.0959511797,0.5212135474,204.5528658743,4.0334437222
MgMOF-74_EQeq,0.15,0.02,0.0,1e-05,4e-05,0.82995,15.1043511423,0.1769190734,123.1226324320,5.9814670906,0.0000000000,0.0000000000,0.0011934307,0.0012452678,0.2997557622,0.0520483364,66.7419845945,1.3996727249,205.2699173617,7.6113524931
MgMOF-74_EQeq,0.15,0.02,2e-05,4e-05,4e-05,0.8299,15.1080133803,0.2064755343,123.8812498958,5.3065419414,0.0000115358,0.0000461432,0.0063343627,0.0020445356,0.2962452848,0.0355226768,66.1090962765,0.4465916182,205.4009507359,5.9972224495
MgMOF-74_EQeq,0.15,0.02,2e-05,4e-05,5e-05,0.82989,14.9494384765,0.1286660480,122.6470173012,7.1279441840,0.0000346074,0.0000922864,0.0057835486,0.0028797275,0.3529980023,0.0222022083,66.6405108596,0.8800557901,204.5957827956,8.1618402443
MgMOF-74_EQeq,0.15,0.02,2e-05,5e-05,0.0,0.8299300000000001,15.0790817004,0.1640723480,123.5423520842,2.4756999550,0.0000115358,0.0000461432,0.0083540146,0.0044748353,0.0000000000,0.0000000000,66.4628917471,0.6247495450,205.0926910821,3.2690428265
MgMOF-74_EQeq,0.15,0.02,2e-05,5e-05,1e-05,0.8299200000000001,15.0012591437,0.1954324732,124.2264422433,3.0797495104,0.0000115358,0.0000461432,0.0092720382,0.0022784746,0.0715747331,0.0102903060,66.3458683245,0.8900339030,205.6544280186,4.1778308104
MgMOF-74_EQeq,0.15,0.02,2e-05,5e-05,2e-05,0.82991,15.0717572245,0.2300177002,123.3076917868,4.5807449468,0.0000115358,0.0000461432,0.0077113981,0.0041626068,0.1380787766,0.0085988783,66.2217914355,1.2174302774,204.7470421573,6.0410005527
MgMOF-74_EQeq,0.15,0.02,2e-05,5e-05,3.0000000000000008e-05,0.8299000000000001,15.0067525006,0.3674858263,124.3286655059,6.0022185545,0.0000230716,0.0000565136,0.0091802358,0.0025308164,0.2203799683,0.0328201300,66.1589514606,0.8065427141,205.7239527428,7.2116545549
MgMOF-74_EQeq,0.15,0.02,2e-05,5e-05,4e-05,0.82989,15.0459384468,0.0908323613,123.1777725663,2.2844289307,0.0000115358,0.0000461432,0.0077113981,0.0019603619,0.2958552317,0.0203651022,66.5177164190,0.6663493815,205.0450055977,3.0639822808
MgMOF-74_EQeq,0.15,0.02,2e-05,5e-05,5e-05,0.8298800000000001,15.0049213817,0.1333296063,123.8674019169,2.3266383351,0.0000115358,0.0000461432,0.0073441887,0.0020112889,0.3459770475,0.0143526799,66.4867773497,0.7802261692,205.7124334203,3.2566042226
MgMOF-74_EQeq,0.15,0.02,3.0000000000000008e-05,0.0,0.0,0.8299700000000001,14.9494384765,0.3400923832,124.8702473727,4.6583187187,0.0000115358,0.0000461432,0.0000000000,0.0000000000,0.0000000000,0.0000000000,66.1910126723,0.4778006978,206.0107100573,5.4762579429
MgMOF-74_EQeq,0.15,0.02,3.0000000000000008e-05,0.0,1e-05,0.82996,15.0168236550,0.2458897587,123.6659767688,3.6527505798,0.0000115358,0.0000461432,0.0000000000,0.0000000000,0.0719647861,0.0268372366,66.4234564567,0.7191690685,205.1782332024,4.6446927868
MgMOF-74_EQeq,0.15,0.02,0.0,1e-05,5e-05,0.82994,15.0624185177,0.2910790414,123.6516252270,2.0457247641,0.0000000000,0.0000000000,0.0010098259,0.0015794275,0.3457820210,0.0304541265,66.7876718211,0.9897599818,205.8485074127,3.3585973413
