MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
ZIF-8_v2_EQeq,0.15,0.02,0.0,0.0,0.0,0.8300000000000001,14.1218555833,0.2556353110,28.8539694415,1.3776056304,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,55.7752062293,0.7733077628,98.7510312541,2.4065487042
ZIF-8_v2_EQeq,0.15,0.02,0.0,0.0,1e-05,0.82999,14.1789709821,0.1880533285,29.1201811802,1.0520221526,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1116808568,0.0134684824,56.0118819315,1.0747917101,99.4227149506,2.3283356736
ZIF-8_v2_EQeq,0.15,0.02,0.0,1e-05,4e-05,0.82995,14.2914443829,0.4419914312,28.9103531683,0.6307874069,0.0000000000,0.0000000000,0.0014684389,0.0009287223,0.4632571853,0.0367528010,55.7470000243,1.7390920933,99.4135231997,2.8495524547
ZIF-8_v2_EQeq,0.15,0.02,2e-05,4e-05,4e-05,0.8299,14.1499739335,0.4657341221,28.9707643042,0.8042944614,0.0000184523,0.0000738090,0.0089574772,0.0029950394,0.4704322124,0.0539822047,55.9216220754,1.8018433536,99.5217684550,3.1289229902
ZIF-8_v2_EQeq,0.15,0.02,2e-05,4e-05,5e-05,0.82989,14.2759207104,0.1766647689,28.9981506858,1.1788071512,0.0000000000,0.0000000000,0.0071953505,0.0025263978,0.5958392081,0.0747918180,56.1416304746,1.4336017073,100.0187364294,2.8663918432
ZIF-8_v2_EQeq,0.15,0.02,2e-05,5e-05,0.0,0.8299300000000001,14.2820715995,0.2485500195,28.9743889723,0.5418001419,0.0000000000,0.0000000000,0.0088106333,0.0016085942,0.0000000000,0.0000000000,55.5234017445,0.9511761182,98.7886729496,1.7431348738
ZIF-8_v2_EQeq,0.15,0.02,2e-05,5e-05,1e-05,0.8299200000000001,14.2568822441,0.2455259492,28.9687505996,0.5941453552,0.0000184523,0.0000738090,0.0102790722,0.0035969260,0.1235352494,0.0316541005,55.5544285700,0.6874418179,98.9138941876,1.5624379578
ZIF-8_v2_EQeq,0.15,0.02,2e-05,5e-05,2e-05,0.82991,14.3488526812,0.5808792671,29.2695980561,0.4641448718,0.0000184523,0.0000738090,0.0086637894,0.0028474086,0.2451987526,0.0129978216,56.3431766304,0.9766271729,100.2155083620,2.0375703510
ZIF-8_v2_EQeq,0.15,0.02,2e-05,5e-05,3.0000000000000008e-05,0.8299000000000001,14.2647905301,0.3273961170,29.2220746293,0.4589592669,0.0000184523,0.0000738090,0.0099853844,0.0025603107,0.3628068057,0.0591437576,55.9262376362,0.8473344441,99.7859134380,1.6954677053
ZIF-8_v2_EQeq,0.15,0.02,2e-05,5e-05,4e-05,0.82989,14.2208556079,0.4649214417,29.0138575811,0.9272015852,0.0000000000,0.0000000000,0.0104259161,0.0028474086,0.4723039586,0.0355905321,55.5054523413,0.6409364587,99.2228954050,2.0714974263
ZIF-8_v2_EQeq,0.15,0.02,2e-05,5e-05,5e-05,0.8298800000000001,14.2644976306,0.3514666848,29.1302497028,0.6364070961,0.0000000000,0.0000000000,0.0083701016,0.0021977581,0.6298425974,0.0757331531,55.5869939158,1.0697399309,99.6199539482,2.1355446230
ZIF-8_v2_EQeq,0.15,0.02,3.0000000000000008e-05,0.0,0.0,0.8299700000000001,14.2741633135,0.2507903810,28.8197364646,0.4074687201,0.0000184523,0.0000738090,0.0000000000,0.0000000000,0.0000000000,0.0000000000,56.2554809748,1.0798317901,99.3493992052,1.7381647002
ZIF-8_v2_EQeq,0.15,0.02,3.0000000000000008e-05,0.0,1e-05,0.82996,14.2961307746,0.1459145139,28.9035065729,1.0013716704,0.0000369045,0.0000903972,0.0000000000,0.0000000000,0.1110569414,0.0144177116,56.1016289474,1.2653154654,99.4123601408,2.4271097585
