MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
NU-100_EQeq,0.15,0.02,0.0,0.0,0.0,0.8300000000000001,2.4544281995,0.1447299742,2.5551342080,0.2305532491,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,9.9809277501,0.7366674315,14.9904901576,1.1119506548
NU-100_EQeq,0.15,0.02,0.0,0.0,1e-05,0.82999,2.4181885484,0.1549279808,2.5165334806,0.2480139748,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0041678238,0.0037313367,9.9325193046,0.3515859255,14.8714091574,.7582592178
NU-100_EQeq,0.15,0.02,0.0,1e-05,4e-05,0.82995,2.4255045343,0.1237902751,2.5200426376,0.1579257560,0.0000000000,0.0000000000,0.0000852986,0.0003411942,0.0163088757,0.0090241718,9.8626621942,0.2590823270,14.8246035404,.5501637241
NU-100_EQeq,0.15,0.02,2e-05,4e-05,4e-05,0.8299,2.4151260427,0.1597714959,2.5888221155,0.1803243927,0.0000000000,0.0000000000,0.0006823884,0.0010235827,0.0193894411,0.0089950144,10.0533169946,0.4249065401,15.0773369823,.7750210258
NU-100_EQeq,0.15,0.02,2e-05,4e-05,5e-05,0.82989,2.3938586418,0.1276701754,2.5385241980,0.1146410566,0.0000000000,0.0000000000,0.0009382841,0.0013647769,0.0217451676,0.0096569656,9.8896219746,0.3031519992,14.8446882661,.5564849737
NU-100_EQeq,0.15,0.02,2e-05,5e-05,0.0,0.8299300000000001,2.3782058348,0.0290255692,2.4737217648,0.1258904618,0.0000000000,0.0000000000,0.0002558957,0.0006823884,0.0000000000,0.0000000000,9.7242885148,0.1538014297,14.5764720101,.3093998491
NU-100_EQeq,0.15,0.02,2e-05,5e-05,1e-05,0.8299200000000001,2.4222718894,0.2035211992,2.5364187038,0.2141146926,0.0000107185,0.0000428741,0.0007676870,0.0006383159,0.0027181459,0.0038010874,9.7875918665,0.5548606697,14.7497790111,.9769788389
NU-100_EQeq,0.15,0.02,2e-05,5e-05,2e-05,0.82991,2.3406050700,0.0933665930,2.4975840326,0.1624075551,0.0000000000,0.0000000000,0.0012794783,0.0018687977,0.0083356476,0.0043490335,10.0136965439,0.2714003976,14.8615007724,.5333923769
NU-100_EQeq,0.15,0.02,2e-05,5e-05,3.000000000000001e-05,0.8299000000000001,2.3356710330,0.1180604281,2.4631942937,0.2418232171,0.0000000000,0.0000000000,0.0005117913,0.0009947435,0.0117786324,0.0057303548,9.8461288482,0.5953338829,14.6572845986,.9619426264
NU-100_EQeq,0.15,0.02,2e-05,5e-05,4e-05,0.82989,2.4590219581,0.1669363034,2.5670653419,0.1371684952,0.0000000000,0.0000000000,0.0011941798,0.0018996890,0.0152216173,0.0071938209,9.8546189448,0.4278458056,14.8971220419,.7410441141
