MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
NU-125_v2_EQeq,0.15,0.02,0.0,0.0,0.0,0.8300000000000001,2.6391063770,0.0894984036,5.0638815972,0.3640191966,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,11.1994223636,0.9822137770,18.9024103378,1.4357313772
NU-125_v2_EQeq,0.15,0.02,0.0,0.0,1e-05,0.82999,2.7487031230,0.1858230265,5.2295333350,0.2690857347,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0066828965,0.0048804976,11.1214197161,0.5088780042,19.1063390706,.9686672630
NU-125_v2_EQeq,0.15,0.02,0.0,1e-05,4e-05,0.82995,2.6792639633,0.1528514386,4.9833564469,0.2531679197,0.0000000000,0.0000000000,0.0006291510,0.0010273993,0.0209397424,0.0211988200,11.2554524342,0.5764330077,18.9396417378,1.0046785853
NU-125_v2_EQeq,0.15,0.02,2e-05,4e-05,4e-05,0.8299,2.6738259568,0.1988368046,5.1432563883,0.3924495862,0.0000000000,0.0000000000,0.0010485850,0.0022973347,0.0187121102,0.0060434146,10.9075533025,0.5191762340,18.7443963428,1.1188033741
NU-125_v2_EQeq,0.15,0.02,2e-05,4e-05,5e-05,0.82989,2.7570692868,0.2190018167,5.3572232163,0.3574157245,0.0000000000,0.0000000000,0.0010485850,0.0022973347,0.0227218481,0.0139186908,11.0950526240,0.5999251189,19.2331155602,1.1925586856
NU-125_v2_EQeq,0.15,0.02,2e-05,5e-05,0.0,0.8299300000000001,2.7692002244,0.0883413025,5.3647005517,0.4850725628,0.0000000000,0.0000000000,0.0002097170,0.0008388680,0.0000000000,0.0000000000,11.3982741830,0.4317734018,19.5323846761,1.0060261351
NU-125_v2_EQeq,0.15,0.02,2e-05,5e-05,1e-05,0.8299200000000001,2.7031075302,0.1359752582,5.1375045918,0.3067083100,0.0000000000,0.0000000000,0.0008388680,0.0015693783,0.0049007908,0.0059105761,11.3004962166,0.2792679064,19.1468479974,.7294314290
NU-125_v2_EQeq,0.15,0.02,2e-05,5e-05,2e-05,0.82991,2.7838410111,0.0655023078,5.1219747414,0.3110015011,0.0000000000,0.0000000000,0.0010485850,0.0013263668,0.0089105287,0.0112710263,11.2382405825,0.4739188192,19.1540154487,.8630200212
NU-125_v2_EQeq,0.15,0.02,2e-05,5e-05,3.000000000000001e-05,0.8299000000000001,2.7474481985,0.2378934533,5.2812995031,0.1666076127,0.0000000000,0.0000000000,0.0010485850,0.0022973347,0.0173755309,0.0110576753,11.0456143264,0.5240437800,19.0927861439,.9418998560
NU-125_v2_EQeq,0.15,0.02,2e-05,5e-05,4e-05,0.82989,2.8097761189,0.1244451050,5.2416121076,0.5255341854,0.0000000000,0.0000000000,0.0018874530,0.0046706194,0.0231673746,0.0124747402,11.3730057198,0.2371885125,19.4494487739,.9043131625
NU-125_v2_EQeq,0.15,0.02,2e-05,5e-05,5e-05,0.8298800000000001,2.6905582845,0.1136259341,5.1904211192,0.4981786272,0.0000000000,0.0000000000,0.0029360380,0.0030821979,0.0262860596,0.0103146827,11.4385572404,0.8371939404,19.3487587417,1.4623953823
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,0.0,0.0,0.8299700000000001,2.7148201596,0.1727162051,5.2168793828,0.1849897922,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,11.3228350029,0.5294605839,19.2545345453,.8871665812
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,0.0,1e-05,0.82996,2.6742442650,0.1839148466,5.0546787229,0.2114471779,0.0000263528,0.0001054113,0.0000000000,0.0000000000,0.0062373701,0.0033340145,11.2950030724,0.5462423627,19.0301897832,.9450438130
NU-125_v2_EQeq,0.15,0.02,0.0,1e-05,5e-05,0.82994,2.7930437913,0.0819115373,5.0696333937,0.3293605415,0.0000000000,0.0000000000,0.0002097170,0.0008388680,0.0253950067,0.0145326325,11.1140955239,0.3569925805,19.0023774326,.7836361598
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,0.0,2e-05,0.82995,2.6771724224,0.0909567853,5.2168793828,0.3738579204,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0124747402,0.0082632844,11.1565758389,0.1620286142,19.0631023843,.6351066043
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,0.0,3.000000000000001e-05,0.82994,2.6625316357,0.1986149140,5.0656071361,0.4697439730,0.0000263528,0.0001054113,0.0000000000,0.0000000000,0.0155934252,0.0048804976,10.9764007097,0.4603742789,18.7201592595,1.1337190748
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,0.0,4e-05,0.8299300000000001,2.7286243299,0.1513466552,5.1564855201,0.3366643945,0.0000263528,0.0001054113,0.0000000000,0.0000000000,0.0200486895,0.0101595658,11.0793056107,0.3522350182,18.9844905030,.8505110450
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,0.0,5e-05,0.8299200000000001,2.6968329073,0.2158016240,5.1294520768,0.6391133676,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0245039539,0.0109131243,10.9793303866,0.5618872837,18.8301193246,1.4277153996
NU-125_v2_EQeq,0.15,0.02,3.000000000000001e-05,1e-05,0.0,0.82996,2.7411735756,0.1509298618,5.2007743528,0.4870056620,0.0000263528,0.0001054113,0.0002097170,0.0008388680,0.0000000000,0.0000000000,11.2766925918,0.9440898010,19.2188765900,1.5829696041
