MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
MgMOF-74_EQeq,0.15,0.02,0.0,0.0,0.0,0.8300000000000001,2.1728057834,0.0418585949,16.0704536554,1.0303622353,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10.3631454411,0.6124324223,28.6064048799,1.6846532525
MgMOF-74_EQeq,0.15,0.02,0.0,0.0,0.82999,2.1977090015,0.0893811172,16.3824108535,1.0420143136,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0079960873,0.0046806365,10.4162067464,0.4922723164,29.0043226887,1.6283483837,
MgMOF-74_EQeq,0.15,0.02,0.0,0.0005,0.82995,2.1740875667,0.0522764426,15.7522019215,1.2217047543,0.0000000000,0.0000000000,0.0002754071,0.0007344189,0.0329594820,0.0114651711,10.3528858534,0.7109761457,28.3124102307,1.9971569326,
MgMOF-74_EQeq,0.15,0.02,2e-05,4e-05,4e-05,0.8299,2.2158370795,0.1389210007,15.8969762467,1.3254876718,0.0000000000,0.0000000000,0.0011016283,0.0012452678,0.0349097472,0.0102012107,10.1004038116,0.3510967646,28.2492285133,1.8269519156
MgMOF-74_EQeq,0.15,0.02,2e-05,4e-05,5e-05,0.82989,2.1543114817,0.0966650468,15.3765440204,1.5143052340,0.0000000000,0.0000000000,0.0008262212,0.0010705903,0.0376401185,0.0068231416,10.0210523128,0.2894465164,27.5903741546,1.9083105291
MgMOF-74_EQeq,0.15,0.02,2e-05,5e-05,0.0,0.8299300000000001,2.1984414491,0.0722343366,15.8174133132,0.6806609227,0.0000000000,0.0000000000,0.0005508141,0.0017801138,0.0000000000,0.0000000000,10.4965200816,0.6068524256,28.5129256580,1.3615277987
MgMOF-74_EQeq,0.15,0.02,2e-05,5e-05,0.8299200000000001,2.1923987565,0.0452193711,15.8866532079,0.8969889516,0.0000000000,0.0000000000,0.0011934307,0.0014916118,0.0064358752,0.0029188897,10.2177478463,0.3055879199,28.3044291166,1.2522067441,
MgMOF-74_EQeq,0.15,0.02,2e-05,5e-05,2e-05,0.82991,2.2074139321,0.1395163667,15.7801496608,1.4005516534,0.0000000000,0.0000000000,0.0002754071,0.0007344189,0.0150170421,0.0097591240,10.2778626181,0.4728940685,28.2807186602,2.0234556315
MgMOF-74_EQeq,0.15,0.02,2e-05,5e-05,3.000000000000001e-05,0.8299000000000001,2.2182175341,0.0846555437,15.9833372789,2.3512290321,0.0000115358,0.0000461432,0.0008262212,0.0017801138,0.0243783151,0.0082742745,10.3062367904,0.4586394147,28.5330076755,2.9046245220
MgMOF-74_EQeq,0.15,0.02,2e-05,5e-05,4e-05,0.82989,2.1532128103,0.0968341702,16.0573610208,2.1925482424,0.0000000000,0.0000000000,0.0010098259,0.0006869859,0.0331545085,0.0075028201,10.3631454411,0.2703682267,28.6078836066,2.5679404453
MgMOF-74_EQeq,0.15,0.02,2e-05,5e-05,5e-05,0.8298800000000001,2.1541283698,0.1057645193,15.9022636568,1.9744413100,0.0000000000,0.0000000000,0.0007344189,0.0009362040,0.0427108080,0.0096651334,10.2849160847,0.7874814473,28.3847533382,2.8782886140
MgMOF-74_EQeq,0.15,0.02,3.000000000000001e-05,0.0,0.0,0.8299700000000001,2.1707915525,0.0838884350,15.4533373581,0.5705067306,0.0000115358,0.0000461432,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10.0087087463,0.4552929120,27.6328491927,1.1097342208
MgMOF-74_EQeq,0.15,0.02,3.000000000000001e-05,0.0,0.82996,2.1909338613,0.0405169989,15.3911473437,1.3488421917,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0072159813,0.0055983143,10.1484956291,0.4013413203,27.7377928154,1.7962988252,
MgMOF-74_EQeq,0.15,0.02,0.0,5e-05,0.82994,2.1715240001,0.0889509278,15.8549287470,1.0715107942,0.0000000000,0.0000000000,0.0001836047,0.0004497379,0.0436859406,0.0084019996,10.2958168966,0.4600760412,28.3661391890,1.6293895007,
MgMOF-74_EQeq,0.15,0.02,3.000000000000001e-05,0.0,2e-05,0.82995,2.1742706786,0.1241460858,15.7645392119,0.8946919290,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0191125990,0.0065963955,10.3509621807,0.6575730279,28.3088846702,1.6830074382
