MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
ZIF-8_v2_EQeq,0.15,0.02,0.0,0.0,0.0,0.8300000000000001,2.0171987266,0.0885428882,3.8063042989,0.2597276069,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.5762248468,0.4081846319,14.3997278723,.7564551270
ZIF-8_v2_EQeq,0.15,0.02,0.0,0.0,0.82999,1.9987460592,0.0776575901,3.8671181757,0.2746397696,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0137261388,0.0110558091,8.5493007420,0.2140847874,14.4288911157,.5774379562,
ZIF-8_v2_EQeq,0.15,0.02,0.0,0.0005,0.82995,2.0005034561,0.1059470503,3.7833480673,0.1531347820,0.0000000000,0.0000000000,0.0002936878,0.0007193852,0.0592719631,0.0253435634,8.5795583074,0.6375272746,14.4229754817,.9226720555,
ZIF-8_v2_EQeq,0.15,0.02,2e-05,4e-05,4e-05,0.8299,2.0037253504,0.1079270005,3.9102114526,0.2115888953,0.0000000000,0.0000000000,0.0016152828,0.0010988790,0.0533447668,0.0196706585,8.6441761589,0.4959256492,14.6130730115,.8362110825
ZIF-8_v2_EQeq,0.15,0.02,2e-05,4e-05,5e-05,0.82989,1.9668200158,0.1064156661,3.8316769760,0.1583217478,0.0000000000,0.0000000000,0.0007342194,0.0009287223,0.0661350325,0.0298959011,8.2967269970,0.4813172969,14.1620932407,.7768793342
ZIF-8_v2_EQeq,0.15,0.02,2e-05,5e-05,0.0,0.8299300000000001,1.9779501961,0.0499339929,3.8397317941,0.2710347553,0.0000000000,0.0000000000,0.0017621267,0.0023859308,0.0000000000,0.0000000000,8.4634000267,0.4100649616,14.2828441436,.7334196406
ZIF-8_v2_EQeq,0.15,0.02,2e-05,5e-05,0.8299200000000001,2.0400448861,0.1820412101,3.7865699945,0.1962567632,0.0000000000,0.0000000000,0.0010279072,0.0014975197,0.0155978850,0.0088234962,8.5326334390,0.1926968919,14.3758741118,.5813158811,
ZIF-8_v2_EQeq,0.15,0.02,2e-05,5e-05,2e-05,0.82991,2.0470744736,0.1206433016,3.8642989893,0.1880588729,0.0000000000,0.0000000000,0.0008810633,0.0010988790,0.0274522776,0.0119362044,8.5982769707,0.2734289080,14.5379837745,.5951661659
ZIF-8_v2_EQeq,0.15,0.02,2e-05,5e-05,3.000000000000001e-05,0.8299000000000001,2.0016750541,0.1171217093,3.7640165038,0.2283707850,0.0000000000,0.0000000000,0.0007342194,0.0009287223,0.0408664588,0.0084632003,8.4085261369,0.3883205395,14.2158183730,.7432049564
ZIF-8_v2_EQeq,0.15,0.02,2e-05,5e-05,4e-05,0.82989,2.0713851306,0.0746428339,3.8421482395,0.2733065187,0.0000000000,0.0000000000,0.0016152828,0.0021581556,0.0549045553,0.0140068660,8.6136621734,0.4594131341,14.5837153816,.8235275083
