MOF	o-xylene_comp	m-xylene_comp	p-xylene_comp	o-xylene_mass	o-xylene_error	m-xylene_mass	m-xylene_error	p-xylene_mass	p-xylene_error	total_mass	total_mass_error
UIO-66	0.0	0.0	1.0	0.0	0.0	0.0	0.0	214.44945179509998	25.4774988647	214.44945179509998	25.4774988647
UIO-66	0.0	0.025	0.975	0.0	0.0	10.3376153096	2.5883193909999997	222.47305694599999	26.2077518838	232.81067225560002	28.7960712748
UIO-66	0.0	0.25	0.75	0.0	0.0	71.2286067773	13.6907852895	163.1892197473	13.3445880266	234.4178265246	27.035373316100003
UIO-66	0.05	0.475	0.475	117.07001587719999	7.8397907278	75.0767740392	14.7044182346	56.766246055100005	7.545689798500001	248.91303597150002	30.089898760900002
UIO-66	0.05	0.5	0.45	109.4182907326	4.1322460236000005	84.3218650993	19.719729135999998	54.9376670495	4.8430756121	248.6778228814	28.6950507717
UIO-66	0.05	0.525	0.4249999999999999	105.89009438120002	9.2699398025	97.407012625	7.993434466599999	47.9871202373	8.5460551907	251.2842272435	25.8094294598
UIO-66	0.05	0.55	0.3999999999999999	113.1419572726	11.5567647999	97.8243130901	10.453622279500001	38.639022065300004	10.232394378099999	249.60529242799998	32.2427814575
UIO-66	0.05	0.5750000000000001	0.3749999999999999	118.76273904620001	9.7810873638	91.7801477543	14.7160180493	39.6780150598	6.9544149037	250.2209018603	31.4515203168
UIO-66	0.05	0.6000000000000001	0.3499999999999999	119.74536200709998	7.796258907	91.7773089756	20.4658429396	38.529526316500004	8.3674727889	250.05219729919997	36.6295746355
UIO-66	0.05	0.625	0.325	114.28233521979999	8.7846425581	104.1754720624	13.2963821081	34.1930891227	5.0485761606	252.6508964049	27.129600826799997
UIO-66	0.05	0.65	0.29999999999999993	110.1158192067	5.748342437000001	104.8969273853	19.0055384811	33.1926224102	6.015593120499999	248.2053690022	30.769474038600002
UIO-66	0.05	0.675	0.2749999999999999	118.47886117889999	6.582560705800001	106.862173307	29.3780801658	24.568007260199998	7.2770926923	249.9090417461	43.2377335639
UIO-66	0.05	0.7000000000000001	0.2499999999999999	111.8490963568	7.0634668054	113.712551786	18.575231124200002	23.943070412199997	6.1805480535	249.504718555	31.8192459831
UIO-66	0.0	0.275	0.725	0.0	0.0	73.1038228611	9.2670716955	158.4099330805	23.4189859242	231.5137559416	32.6860576197
UIO-66	0.05	0.7250000000000001	0.22499999999999987	113.79649852680001	11.1911048472	115.00500716209999	24.4392078852	22.633582364099997	7.0050531053	251.435088053	42.6353658377
UIO-66	0.05	0.75	0.2	113.20278824420001	6.6446617699	116.79141002739999	18.9207945754	20.8252803491	5.361277769	250.8194786207	30.926734114299997
UIO-66	0.05	0.775	0.17499999999999993	114.5439083976	9.973353615599999	119.1759841132	24.522003051	17.7379057717	8.3957168182	251.4577982825	42.8910734848
UIO-66	0.05	0.8	0.1499999999999999	124.8916622024	7.6806770859	106.98140201129999	27.125083475500002	15.7548160983	8.4957934022	247.627880312	43.3015539636
